 Sr. No.,Headline,Sentiment,Tags,CreatedAt,Handle,Likes,Engagement,Language,URL
1,"Enough is enough there is a limit of doing propaganda. These opposition leaders have crossed all!

",Positive,Post,27.06.2026,praffulgarg,44.5k,911,English,https://www.instagram.com/reel/DaHkZG3P0A_/?utm_source=ig_web_button_share_sheet 
2,Comment 1- Thanking God again for not making me leftist.,Positive,Comment ,27.06.2027,"_devone1
 ",1315,,English,https://www.instagram.com/reel/DaHkZG3P0A_/?utm_source=ig_web_button_share_sheet 
3,Comment 2- Opposition Party ❌ Anti National Party ✅,Negative,Comment ,27.06.2028,liberty_bharat,2111,,,https://www.instagram.com/reel/DaHkZG3P0A_/?utm_source=ig_web_button_share_sheet 
4,"eske aur bhi perspective ho sakte hai pr mere hisab se to yahi tha🤔🤔
rajnath singh, defense minister,  national war memorial, martyrs name on national war memorial,  full details, analysis, national news,  operation sindoor,  congress bjp, national interest,  India,  indian soldiers 
#nationalwarmemorial #rajnathsingh #operationsindoor #indianpolitics #youthagainstcorruption
",Positive,Post,30.06.2026,"shejal_maurya
",,97,English,https://www.instagram.com/reel/DaNJAS3S0xC/?utm_source=ig_web_button_share_sheet
5,"मोदी सरकार की बुनियाद झूठ पर टिकी है, उन्हें सत्ता में रहने का कोई अधिकार नहीं है।

देश पूछ रहा है कि हमारे शहीद जवानों के नाम सामने आने में 13 महीने क्यों लग गए? 

ये नेशनल सिक्यॉरिटी के साथ खिलवाड़ है, क्योंकि जब सैनिक देश के लिए शहीद होता है, तो उसकी पलटन गर्व महसूस करती है और उसकी शहादत एक मिसाल कायम करती है।

: AICC एक्स-सर्विसमैन विभाग के चेयरमैन @colrohitchaudhry जी 

📍 दिल्ली

",Negative,Post,29.06.2026,incindia,83.5k,1.4k,English,https://www.instagram.com/reel/DaKkl5nTda9/?utm_source=ig_web_button_share_sheet
6,Comment 1- Rahul Gandhi respect button 🔘✅,Negative,Comment ,29.06.2027,"sweet_jaati_123
",940,,,https://www.instagram.com/reel/DaKkl5nTda9/?utm_source=ig_web_button_share_sheet
7,"मैं अपने साथियों के साथ ऑपरेशन सिंदूर में शहीद 6 जवानों जिनके नाम सरकार ने छिपाए, उनको श्रद्धांजलि देने इंडिया गेट पर गया था लेकिन मोदी की पुलिस ने शहीदों की फोटो का बैनर ही फाड़ दिया, कहते है 
परमिशन लेकर आओ, अब इस देश में शहीदों को श्रद्धांजलि के लिए परमिशन चाहिए..?

",Negative,Post,3.07.2026,"robinmichael88
",77.1k,2.7K,Hindi,https://www.instagram.com/reel/DaVgQQZix8c/?utm_source=ig_web_button_share_sheet
8,"Comment 1- असली शेर की गरज यही होती है सर आप बिल्कुल शेर हैं
",Negative,Comment ,3.07.2028,"
nirbhaysingh6224
 
",926,,Hindi,https://www.instagram.com/reel/DaVgQQZix8c/?utm_source=ig_web_button_share_sheet
9,Comment 2- Kitna drta h modi 😂👉,Negative,Comment ,3.07.2029,"deepak_giasia
",1174,,English,https://www.instagram.com/reel/DaVgQQZix8c/?utm_source=ig_web_button_share_sheet
10,"रक्षामंत्री राजनाथ सिंह ने संसद में झूठ बोला!

मोदी सरकार ने 14 महीनों तक ऑपरेशन सिंदूर के शहीदों के नाम देश से छिपाए रखे!

कांग्रेस ने लगातार शहीदों को सम्मान दिलाने के लिए आवाज़ उठाई, देशभर में 'जय हिंद सभाएँ' आयोजित कीं, प्रेस कॉन्फ्रेंस कीं और उनके बलिदान, शौर्य एवं पराक्रम को नमन किया।

सेना ने भी शहीद होने की पुष्टि की थी। कांग्रेस पार्टी के पूर्व सैनिक विभाग ने 10 शहीदों की सूची जारी की थी और शहीद सैनिकों के परिवारों को न्याय दिलाने के लिए लगातार संघर्ष किया। अन्ततः रक्षामंत्री का झूठ पकड़ा गया।

सेना के सम्मान में, कांग्रेस सदा मैदान में 🇮🇳 

30 जुलाई 2025 (सदाकत आश्रम, पटना)👇🏾

",Negative,Post,27.06.2026,colrohitchaudhry,210.7k,4.9k,Hindi,https://www.instagram.com/reel/DaFez-nzOMf/?utm_source=ig_web_button_share_sheet
