Sr. No.,Heading,Summary,Links,Date & Time,Content,Language,Publication,Sentiment,Authors
1,Center calls all-party meeting on the 19th before the Monsoon Session,"• The Central Government, led by the administration, has convened an all-party meeting on July 19 to discuss the legislative agenda for the upcoming Monsoon Session.
• Opposition parties plan to confront Defense Minister Rajnath Singh over various national issues, including the NEET-UG paper leak and recent security concerns.
• The session is expected to be contentious due to internal political divisions.","[""https://www.divyahimachal.com/2026/07/centre-calls-all-party-meeting-on-the-19th-ahead-of-the-monsoon-session/""]",12-07-2026 22:46,"The Central Government has called an all-party meeting on July 19, a day before the commencement of the Monsoon Session of Parliament. In this meeting, the government will outline its legislative agenda, and opposition parties will highlight the issues they intend to raise during the session. This all-party meeting, held before every parliamentary session, will begin at 11 AM. The government has a heavy legislative agenda, and several important bills are expected to be introduced during the session. The session is expected to be stormy, as rifts and divisions have been witnessed in some opposition parties in recent weeks. The seating of rebel TMC MPs may also be changed. Meanwhile, the opposition may raise issues such as the NEET-UG paper leak case, the theft of offerings at the Ram Mandir, and Defense Minister Rajnath Singh's remarks on casualties in Operation Sindoor. Congress has submitted a privilege breach notice against the Defense Minister. Additionally, the Joint Parliamentary Committee (JPC) investigating the proposed 130th Constitution Amendment Bill may adopt its report on July 17 before submitting it to Parliament.",Hindi,Divya Himachal,NEUTRAL,"[""teamit""]"
2,Govt convenes all-party meeting ahead of monsoon session of Parliament,"Union Parliamentary Affairs Minister Kiren Rijiju announced the Monsoon Session of Parliament, scheduled from July 20 to August 13, 2026. President Droupadi Murmu approved the session to facilitate debates on national issues. The government convened an all-party meeting to discuss the legislative agenda, while the opposition plans to raise concerns regarding the NEET-UG paper leak and defense matters.","[""https://www.business-standard.com/india-news/govt-convenes-all-party-meeting-ahead-of-monsoon-session-of-parliament-126071200338_1.html""]",12-07-2026 17:53,"The government has convened an all-party meeting on July 19, a day ahead of the commencement of the Monsoon Session of Parliament, with the government expected to outline its legislative agenda and the opposition parties likely to spell out the issues they intend to raise during the session. The all-party meeting, held ahead of every parliament session, would begin at 11 am, officials said. The government has a heavy legislative agenda, and several significant bills are expected to be taken up during the session. The session is expected to be tumultuous, with some opposition parties having seen rifts and ""splits"" in recent weeks. Trinamool Congress has witnessed turmoil after the defeat in the assembly polls, with 20 of its MPs having ""merged with the National Citizens Party of India"" . They have sought separate seating in the Lok Sabha. Three party MPs resigned their Rajya Sabha seats and have joined the BJP. There has been further ""split"" in Shiv Sena (UBT) with six of the party's MPs in the Lok Sabha joining Shiv Sena led by Maharashtra Deputy Chief Minister Eknath Shinde. Seven AAP MPs in the Rajya Sabha had joined BJP earlier. The Opposition is likely to raise the NEET-UG paper leak case and Defence Minister Rajnath Singh's remarks on casualties in Operation Sindoor. The Congress has moved a breach of privilege notice against the Defence Minister. Union Parliamentary Affairs Minister Kiren Rijiju earlier said that the Monsoon Session of Parliament will be held from July 20 to August 13. ""On the recommendation of the Govt of India, Hon'ble President, Smt. Droupadi Murmu ji has approved the summoning of both the Houses of Parliament for the Monsoon Session 2026. The Session will commence on July 20, 2026 and continue till August 13, 2026, for meaningful debate, discussion and decisions on issues of National Importance,"" Rijiju said in a post on X. The Joint Parliamentary Committee (JPC) examining the proposed 130th Constitution Amendment Bill is also expected to adopt its report on July 17 before submitting it to Parliament. The Bill has sparked political debate over a provision that mandates the automatic removal of the Prime Minister, Chief Ministers and Union or State ministers from office if they remain in judicial custody for 30 consecutive days in cases involving serious offences.",English,Business Standard,NEUTRAL,"[""Business Standard""]"
3,Govt Calls All-Party Meeting On July 19 Ahead Of Monsoon Session; Opposition Set To Raise Key Issues,"• Union Parliamentary Affairs Minister Kiren Rijiju announced the Monsoon Session of Parliament from July 20 to August 13, 2026.
• The Centre has convened an all-party meeting on July 19 to discuss the legislative agenda.
• Opposition parties plan to challenge the government on issues like the NEET-UG paper leak and Defence Minister Rajnath Singh's remarks.","[""https://www.freepressjournal.in/india/govt-calls-all-party-meeting-on-july-19-ahead-of-monsoon-session-opposition-set-to-raise-key-issues""]",12-07-2026 16:13,"The Centre has convened an all-party meeting on July 19, a day before the commencement of the Monsoon Session of Parliament, during which the government is expected to outline its legislative agenda while opposition parties are likely to highlight the issues they intend to raise in both Houses.

The customary meeting, held before every Parliament session, will begin at 11 am, officials said.

Government to Outline Legislative Agenda

The government is expected to push an extensive legislative agenda during the session, with several key Bills likely to be introduced and taken up for discussion.

The Monsoon Session of Parliament will be held from July 20 to August 13, as announced earlier by Union Parliamentary Affairs Minister Kiren Rijiju.

""On the recommendation of the Government of India, Hon'ble President Smt. Droupadi Murmu has approved the summoning of both the Houses of Parliament for the Monsoon Session 2026. The Session will commence on July 20, 2026 and continue till August 13, 2026, for meaningful debate, discussion and decisions on issues of national importance,"" Rijiju said in a post on X.

Opposition Likely to Raise Key Issues

The Opposition is expected to corner the government over several issues, including the NEET-UG paper leak case and Defence Minister Rajnath Singh's remarks on casualties during Operation Sindoor.

The Congress has already moved a breach of privilege notice against the Defence Minister over his comments.

Political Realignments Ahead of Session

The upcoming session is also expected to witness heated exchanges amid recent political realignments across several opposition parties.

The Trinamool Congress (TMC) has witnessed significant turmoil following its defeat in the Assembly elections. Twenty of its MPs have reportedly merged with the National Citizens Party of India and have sought separate seating arrangements in the Lok Sabha. Additionally, three TMC Rajya Sabha MPs resigned from the Upper House before joining the BJP.

Meanwhile, the Shiv Sena (UBT) has also suffered a setback, with six of its Lok Sabha MPs joining the Shiv Sena led by Maharashtra Deputy Chief Minister Eknath Shinde. Earlier, seven AAP Rajya Sabha MPs had also joined the BJP.

JPC Report on Constitution Amendment Bill Expected

Ahead of the Monsoon Session, the Joint Parliamentary Committee (JPC) examining the proposed 130th Constitution Amendment Bill is expected to adopt its report on July 17 before submitting it to Parliament.

The proposed Bill has triggered political debate over a provision that seeks the automatic removal of the Prime Minister, Chief Ministers, and Union or State ministers from office if they remain in judicial custody for 30 consecutive days in cases involving serious offences.

The report is expected to be one of the significant documents tabled during the session.",English,Free Press Journal,NEUTRAL,"[""ANI""]"
4,Parliament Monsoon Session.. All-Party Meeting on July 19,"• Union Parliamentary Affairs Minister Kiren Rijiju announced the Parliament Monsoon Session from July 20 to August 13, with an all-party meeting on July 19.
• The opposition plans to challenge the government on the NEET-UG paper leak and a privilege motion against Defence Minister Rajnath Singh.
• The session will address the 130th Constitutional Amendment Bill regarding the removal of ministers in judicial custody.","[""https://www.andhrajyothy.com/2026/national/government-convenes-all-party-meeting-ahead-of-monsoon-session-of-parliament-july-19-avn-1541092.html""]",12-07-2026 15:26,"Delhi, July 12: The Central Government has called for an all-party meeting on July 19 at 11 AM, a day before the commencement of the Parliament Monsoon Session. In this meeting, the government will explain its agenda, while the opposition is expected to raise key issues. According to Union Parliamentary Affairs Minister Kiren Rijiju, the Monsoon Session will be held from July 20 to August 13 with the approval of President Droupadi Murmu. He stated that meaningful discussions and decisions on matters of national interest will take place. The session is expected to be intense due to recent political shifts, including defections in TMC, Shiv Sena (UBT), and AAP. The opposition plans to corner the government on issues like the NEET-UG paper leak and the breach of privilege notice against Defence Minister Rajnath Singh regarding 'Operation Sindoor'. Additionally, the 130th Constitutional Amendment Bill, which proposes the automatic removal of ministers or heads of government if they remain in judicial custody for 30 consecutive days, is a major point of focus, with the Joint Parliamentary Committee (JPC) expected to submit its report on July 17.",Telugu,Andhrajyothy,NEUTRAL,"[""ABN""]"
5,Monsoon Session: Centre calls all-party meet on July 19; opposition readies showdown,"• The Centre has called an all-party meeting on July 19 ahead of the Parliament's Monsoon Session starting July 20, 2026.
• President Droupadi Murmu approved the session, while Minister Kiren Rijiju emphasized the need for national debate.
• Opposition parties plan to challenge the government on the NEET-UG paper leak and Defence Minister Rajnath Singh's remarks.","[""https://timesofindia.indiatimes.com/india/monsoon-session-centre-calls-all-party-meet-on-july-19-opposition-readies-showdown/articleshow/132343509.cms""]",12-07-2026 15:05,"NEW DELHI: The Centre has announced an all-party meet on July 19 ahead of the commencement of Monsoon Session of the Parliament.
According to officials, the government is expected to outline its legislative agenda while the opposition parties will raise they intend to focus during the session.
The government has a heavy legislative agenda, and several significant bills are expected to be taken up during the session.
Meanwhile the opposition is likely to raise the NEET-UG paper leak case and defence minister Rajnath Singh's remarks on casualties in Operation Sindoor. The Congress has moved a breach of privilege notice against the Rajnath Singh.
""On the recommendation of the Govt of India, Hon'ble President, Smt.
Droupadi Murmu ji has approved the summoning of both the Houses of Parliament for the Monsoon Session 2026. The Session will commence on July 20, 2026 and continue till August 13, 2026, for meaningful debate, discussion and decisions on issues of National Importance,"" Rijiju said in a post on X.
The Joint Parliamentary Committee (JPC) examining the proposed 130th Constitution Amendment Bill is also expected to adopt its report on July 17 before submitting it to Parliament.
The Bill has sparked political debate over a provision that mandates the automatic removal of the Prime Minister, Chief Ministers and Union or State ministers from office if they remain in judicial custody for 30 consecutive days in cases involving serious offences.
Ahead of the session, several opposition parties have also faced turmoil. After the defeat in the assembly elections, 20 MPs of Trinamool Congress merged with the National Citizens Party of India. Additionally, three party MPs resigned their Rajya Sabha seats and have joined the BJP.
There has been further ""split"" in Shiv Sena (UBT) with six of the party's MPs in the Lok Sabha joining Shiv Sena led by Maharashtra Deputy Chief Minister Eknath Shinde. Seven AAP MPs in the Rajya Sabha had joined BJP earlier.",English,Times of India,NEUTRAL,"[""Unknown""]"
6,Government convenes all-party meeting ahead of monsoon session of Parliament,"• Union Parliamentary Affairs Minister Kiren Rijiju announced an all-party meeting in New Delhi on July 19 to discuss the legislative agenda for the Monsoon Session. • President Droupadi Murmu approved the session from July 20 to August 13, 2026. • Opposition parties plan to raise issues like the NEET-UG paper leak and Defence Minister Rajnath Singh's remarks.","[""https://aninews.in/news/national/general-news/government-convenes-all-party-meeting-ahead-of-monsoon-session-of-parliament20260712141631""]",12-07-2026 14:16,"New Delhi [India], July 12 (ANI): The government has convened an all-party meeting on July 19, a day ahead of the commencement of the Monsoon Session of Parliament , with the government expected to outline its legislative agenda and the opposition parties likely to spell out the issues they intend to raise during the session. The all-party meeting, held ahead of every parliament session, would begin at 11 am, officials said. The government has a heavy legislative agenda, and several significant bills are expected to be taken up during the session. The session is expected to be tumultuous, with some opposition parties having seen rifts and ""splits"" in recent weeks. Trinamool Congress has witnessed turmoil after the defeat in the assembly polls, with 20 of its MPs having ""merged with the National Citizens Party of India"" . They have sought separate seating in the Lok Sabha. Three party MPs resigned their Rajya Sabha seats and have joined the BJP. There has been further ""split"" in Shiv Sena (UBT) with six of the party's MPs in the Lok Sabha joining Shiv Sena led by Maharashtra Deputy Chief Minister Eknath Shinde. Seven AAP MPs in the Rajya Sabha had joined BJP earlier. The Opposition is likely to raise the NEET-UG paper leak case and Defence Minister Rajnath Singh's remarks on casualties in Operation Sindoor. The Congress has moved a breach of privilege notice against the Defence Minister. Union Parliament ary Affairs Minister Kiren Rijiju earlier said that the Monsoon Session of Parliament will be held from July 20 to August 13. ""On the recommendation of the Govt of India, Hon'ble President, Smt. Droupadi Murmu ji has approved the summoning of both the Houses of Parliament for the Monsoon Session 2026. The Session will commence on July 20, 2026 and continue till August 13, 2026, for meaningful debate, discussion and decisions on issues of National Importance,"" Rijiju said in a post on X. The Joint Parliament ary Committee (JPC) examining the proposed 130th Constitution Amendment Bill is also expected to adopt its report on July 17 before submitting it to Parliament . The Bill has sparked political debate over a provision that mandates the automatic removal of the Prime Minister, Chief Ministers and Union or State ministers from office if they remain in judicial custody for 30 consecutive days in cases involving serious offences. (ANI) Entertainment News Updates",English,ANI,NEUTRAL,"[""ANI""]"
7,AP emerging as defence manufacturing hub: Rajnath Singh,"• Defence Minister Rajnath Singh commissioned the stealth frigate INS Mahendragiri into the Indian Navy in Visakhapatnam.
• Singh highlighted Andhra Pradesh as a growing hub for indigenous defence manufacturing, citing projects like the AMCA testing centre and BDL facilities.
• The warship, built by Mazagon Dock Shipbuilders, strengthens India's maritime security and operational reach in the Indian Ocean Region.","[""https://www.newindianexpress.com/states/andhra-pradesh/2026/jul/12/ap-emerging-as-defence-manufacturing-hub-rajnath-singh""]",12-07-2026 08:29,"VISAKHAPATNAM: The Indian Navy commissioned the indigenously built stealth frigate INS Mahendragiri into its Eastern Fleet in Visakhapatnam on Saturday, marking the induction of the sixth of the seven Project 17A Nilgiri-class stealth frigates.

At the commissioning ceremony, Defence Minister Rajnath Singh underscored India’s progress in indigenous defence production and described Andhra Pradesh as an emerging centre for defence and aerospace manufacturing.

“Andhra Pradesh has emerged as a new powerhouse of India’s defence and aerospace manufacturing. It is playing its role across air, water, land, and the unmanned domain,” he remarked, adding, “This means the weapon systems that we once used to import from abroad will now be produced near our own Vizag,” he said.

He cited the foundation stone laying for the Advanced Medium Combat Aircraft (AMCA) Core Integration and Flight Testing Centre at Puttaparthi and Bharat Dynamics Limited’s upcoming Naval Systems Manufacturing Facility in Anakapalli, where autonomous underwater vehicles, torpedoes and underwater countermeasure systems will be produced.

“AMCA in the skies, BDL’s naval systems in the depths of the ocean, Kurnool’s drones in the unmanned domain, and today, INS Mahendragiri on the surface of the sea signify that Andhra Pradesh is now contributing to India’s defence strength across every sphere,” he noted.

The Defence Minister also underlined the changing character of warfare, observing that technological advances were transforming military operations without diminishing the importance of conventional capabilities.

“Future wars may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and credible military power,” he remarked. Emerging technologies such as artificial intelligence, drones, cyber warfare, hypersonic weapons and space-based systems, he emphasised, complement rather than replace conventional military platforms.

Citing Operation Sindoor, the Defence Minister pointed to the operation as an illustration of the effective integration of modern technologies with conventional military capability.

The frigate was designed by the Indian Navy’s Warship Design Bureau and built by Mazagon Dock Shipbuilders Limited, Mumbai. With over 75% indigenous content, the 6,670-tonne warship can attain 28 knots. It is configured for fleet air defence, anti-surface and anti-submarine warfare, maritime interdiction, surveillance and HADR.

It carries supersonic and medium-range missiles, stealth features, sensors, network-centric systems, anti-submarine weapons and a multi-role helicopter. It could also be equipped with the BrahMos missile system.

Describing maritime security as integral to India’s economic interests, the Defence Minister observed that secure sea lanes were essential for trade, energy security and resilient supply chains. He noted that the Indian Navy’s humanitarian assistance, anti-piracy operations and evacuation missions had reinforced its role as a first responder and a preferred security partner in the Indo-Pacific.

Referring to Operation Urja Suraksha during the West Asia conflict, he stated that the Navy had safely escorted 18 merchant vessels carrying cargo worth more than Rs 9,000 crore.

Chief of the Naval Staff Admiral Krishna Swaminathan described INS Mahendragiri as another milestone in indigenous warship construction that would strengthen the Navy’s operational capability.

Built with contributions from more than 200 Indian industries, including several MSMEs, the frigate is named after the Mahendragiri mountain range in the Eastern Ghats and will enhance the Navy’s operational reach in the Indian Ocean Region.",English,The New Indian Express,POSITIVE,"[""Usha Peri""]"
8,"Resolve, soldiers will win future wars, not just AI: Rajnath Singh","Defence Minister Rajnath Singh, speaking at the INS Mahendragiri commissioning in Visakhapatnam, stated that national resolve and trained soldiers remain crucial for winning future wars despite the rise of AI. He highlighted Andhra Pradesh as a growing defence manufacturing hub and emphasized the government's balanced strategy of integrating next-generation technology with conventional military strength.","[""https://dailypioneer.com/news/resolve-soldiers-will-win-future-wars-not-just-ai-rajnath-singh""]",12-07-2026 00:00,"Future wars may be fought with Artificial Intelligence (AI), but they will still be won by national resolve, trained soldiers and robust military power, Defence Minister Rajanth Singh said on Saturday.

Speaking at the commissioning ceremony of INS Mahendragiri in Visakhapatnam, Singh also said Andhra Pradesh has emerged as a new powerhouse of India’s defence and aerospace manufacturing. Highlighting the Government’s balanced approach towards defence modernisation, Singh said India is investing in next-generation technologies while simultaneously strengthening conventional military capabilities.History

He cited Operation Sindoor as an example of the effective integration of conventional and modern capabilities to safeguard national security. “Future wars may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and the capable military power.

So, I would say that new technologies and conventional platforms are not opposed to each other, but supplement each other, complete each other.",English,The Pioneer,POSITIVE,"[""PioneerNewsService""]"
9,All-party meeting convened ahead of monsoon session of Parliament,"• Union Parliamentary Affairs Minister Kiren Rijiju announced an all-party meeting in New Delhi on July 19 to discuss the legislative agenda for the upcoming Monsoon Session.
• President Droupadi Murmu approved the session from July 20 to August 13, 2026.
• Opposition parties plan to raise issues like the NEET-UG paper leak and Defence Minister Rajnath Singh's remarks.","[""https://www.prameyanews.com/all-party-meeting-convened-ahead-of-monsoon-session-of-parliament""]",12-07-2026 00:00,"New Delhi, July 12: The government has convened an all-party meeting on July 19, a day ahead of the commencement of the Monsoon Session of Parliament, with the government expected to outline its legislative agenda and the opposition parties likely to spell out the issues they intend to raise during the session.

The all-party meeting, held ahead of every parliament session, would begin at 11 am, officials said.

The government has a heavy legislative agenda, and several significant bills are expected to be taken up during the session.

The session is expected to be tumultuous, with some opposition parties having seen rifts and ""splits"" in recent weeks.

Trinamool Congress has witnessed turmoil after the defeat in the assembly polls, with 20 of its MPs having ""merged with the National Citizens Party of India"" . They have sought separate seating in the Lok Sabha. Three party MPs resigned their Rajya Sabha seats and have joined the BJP.

There has been further ""split"" in Shiv Sena (UBT) with six of the party's MPs in the Lok Sabha joining Shiv Sena led by Maharashtra Deputy Chief Minister Eknath Shinde. Seven AAP MPs in the Rajya Sabha had joined BJP earlier.

The Opposition is likely to raise the NEET-UG paper leak case and Defence Minister Rajnath Singh's remarks on casualties in Operation Sindoor. The Congress has moved a breach of privilege notice against the Defence Minister.

Union Parliamentary Affairs Minister Kiren Rijiju earlier said that the Monsoon Session of Parliament will be held from July 20 to August 13.

""On the recommendation of the Govt of India, Hon'ble President, Smt. Droupadi Murmu ji has approved the summoning of both the Houses of Parliament for the Monsoon Session 2026. The Session will commence on July 20, 2026 and continue till August 13, 2026, for meaningful debate, discussion and decisions on issues of National Importance,"" Rijiju said in a post on X.

The Joint Parliamentary Committee (JPC) examining the proposed 130th Constitution Amendment Bill is also expected to adopt its report on July 17 before submitting it to Parliament. The Bill has sparked political debate over a provision that mandates the automatic removal of the Prime Minister, Chief Ministers and Union or State ministers from office if they remain in judicial custody for 30 consecutive days in cases involving serious offences. (ANI)",English,Prameya,NEUTRAL,"[""Unknown""]"
10,Hizbul Mujahideen steps up recruitment with more Pakistani fighters,"• Intelligence officials report that the terrorist organization Hizbul Mujahideen, led by Syed Salahuddin, is shifting strategy to recruit Pakistani fighters for operations in Jammu and Kashmir.
• The group aims to revive separatist sentiment and increase infiltration attempts from Pakistan-occupied Kashmir.
• Indian security agencies are monitoring these renewed efforts to destabilize the region.","[""https://telanganatoday.com/hizbul-mujahideen-steps-up-recruitment-with-more-pakistani-fighters""]",11-07-2026 17:01,"Intelligence officials say Hizbul Mujahideen has begun a fresh recruitment drive with a greater focus on Pakistani fighters, infiltration and reviving separatist sentiment in Jammu and Kashmir. Security agencies have cautioned that the outfit's renewed efforts should not be underestimatedCity & Local Guides

New Delhi: The Hizbul Mujahideen, once projected as a home-grown terror outfit in Jammu and Kashmir, has recently begun changing its strategy.

The group, which had remained largely inactive after Indian security forces dismantled most of its networks in Jammu and Kashmir, has now launched a fresh recruitment drive.History

An Intelligence Bureau official said that the recruitment pattern is, however, different and today the Hizbul Mujahideen has more Pakistani fighters as compared to the local Kashmiris.

“This clearly shows that the local Kashmiris no longer want to be part of this outfit; hence a decision to recruit Pakistanis in large numbers has been taken,” the official said.

The official said that on July 8, a meeting was held to commemorate the death anniversary of slain Hizbul Mujahideen commander Burhan Wani.

The members of the outfit, which is headquartered in Muzaffarabad in Pakistan-occupied Kashmir (PoK), discussed a range of issues that involved recruitment and strategy. The Hizbul Mujahideen has been under immense pressure from the Pakistani establishment to regroup and commence operations in Jammu and Kashmir.

Post Operation Sindoor, the Hizbul Mujahideen has remained relatively quiet and not focused on its future operations. With the Jaish-e-Mohammed (JeM) down owing to its top leaders missing in action, the emphasis to commence operations in Jammu and Kashmir largely falls on the Lashkar-e-Taiba (LeT) and Hizbul Mujahideen.

“The Pakistani establishment is engaging the Lashkar-e-Taiba in the various trouble-torn regions in Pakistan. The terror group has been tasked with taking on outfits such as the Balochistan Liberation Army (BLA) and Tehreek-e-Taliban Pakistan (TTP),” another official said.

With the Lashkar engaged in Pakistan, its spy agency, Inter Services Intelligence, wants to push the Hizbul Mujahideen and is expecting it to restart operations in Jammu and Kashmir.

The outfit, which has struggled to gain traction in Jammu and Kashmir in recent years, is now looking to recruit Pakistani nationals into its ranks. In addition to this, the ISI has also instructed the Hizbul Mujahideen to be ready for infiltrations.

Nearly 100 Hizbul Mujahideen terrorists are reportedly waiting at launch pads in Pakistan-occupied Kashmir to infiltrate Jammu and Kashmir. At the same time, the outfit’s top leadership has been directed to intensify its propaganda campaign in the Valley.

The outfit’s top leadership, led by Syed Salahuddin, has been directed to step up efforts to recruit youth in Kashmir. Even as it plans to induct large numbers of Pakistani nationals, the group is also expected to strengthen its local presence by bringing more Kashmiris into its ranks.City & Local Guides

Another official said that these moves being made by the Hizbul Mujahideen cannot be taken lightly. The focus would not just be on recruiting terrorists and attempting attacks in Jammu and Kashmir.

The Hizbul Mujahideen has a history of driving a separatist narrative. It would scout for persons in Jammu and Kashmir who can re-introduce separatism in the Union Territory. In fact, this move would be more dangerous when compared to actual terror strikes.

One of the key drivers of terrorism in Jammu and Kashmir has been separatism. Separatist leaders have long been accused of radicalising young people, encouraging stone-pelting and persuading them to join terror groups to fight the Indian security forces.

Officials say Hizbul Mujahideen’s revival plan rests on two key elements: recruiting more terrorists from Pakistan and reviving separatist sentiment in the Valley.

While the outfit’s comeback may not be easy given the heavy losses it has suffered at the hands of Indian security agencies since 2016, officials caution that the renewed push to revive militant operations in Jammu and Kashmir cannot be taken lightly.History",English,Telangana Today,NEGATIVE,"[""Telangana Today""]"
