Sr. No.,Heading,Summary,Time,CCM,Content,Edition,Lnaguage,Publication,Sentiment,Authors
1,Made-in-India Stealth Frigate INS Mahendragiri Joins Navy,"• Defence Minister Rajnath Singh commissioned the indigenously built stealth frigate INS Mahendragiri into the Indian Navy at Visakhapatnam.
• The warship, built by Mazagon Dock Shipbuilders Limited under Project 17A, enhances India's maritime security and naval-industrial capabilities.
• Rajnath Singh emphasized the integration of modern technology with conventional military power to strengthen India's national security and economic interests.",12-07-2026 19:46,337.56,"VISAKHAPATNAM: India took another significant step towards defence self-reliance on Saturday with the commissioning of the indigenously built advanced stealth frigate INS Mahendragiri into the Indian Navy's Eastern Fleet. The warship was commissioned by Defence Minister Rajnath Singh at Visakhapatnam, who described it as a symbol of Aatmanirbhar Bharat and the country's growing capability to build technologically advanced and combat-ready naval platforms. Built under Project 17A by Mazagon Dock Shipbuilders Limited (MDL) and designed by the Indian Navy's Warship Design Bureau, INS Mahendragiri is the sixth stealth frigate of the class to be inducted within just one-and-a-half years. With more than 75 per cent indigenous content, the vessel represents one of India's most sophisticated home-built frontline warships. Addressing the commissioning ceremony, Rajnath Singh said INS Mahendragiri reflects India's expanding naval-industrial ecosystem and its ability to design and deliver world-class warships. He said the vessel would strengthen India's maritime security, extend the Navy's blue-water operational reach and reinforce the country's presence across the Indian Ocean Region. The 6,670-tonne stealth frigate is capable of speeds of up to 28 knots and is designed to undertake the full spectrum of maritime operations, including fleet air defence, anti-surface warfare, anti-submarine warfare, maritime interdiction, surveillance and humanitarian assistance and disaster relief missions. Equipped with advanced stealth features, modern sensors, network-centric combat systems and state-of-the-art weaponry, INS Mahendragiri can be fitted with the BrahMos supersonic cruise missile, medium-range surface-to-air missiles, indigenous anti-submarine rocket launchers, torpedo systems, an integrated anti-submarine defence system, electronic warfare suites and close-in weapon systems. The ship also operates an embarked multi-role helicopter, significantly enhancing its combat capability against aerial, surface and underwater threats. Highlighting the evolving nature of warfare, Rajnath Singh said emerging technologies such as artificial intelligence, drones, cyber warfare and hypersonic weapons are transforming military operations, but conventional military power continues to remain the backbone of national defence. ""Future wars may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and credible military power,"" the Defence Minister said, adding that the government remains committed to simultaneously strengthening advanced technologies and conventional defence capabilities. Referring to Operation Sindoor, he said the recent military operation demonstrated the effective integration of modern technology with conventional combat capabilities in safeguarding national security. Emphasising the strategic importance of maritime security, Rajnath Singh reiterated India's commitment to the vision of Security and Growth for All in the Region (SAGAR) and described the Indian Navy as a trusted security partner and first responder in the Indo-Pacific region. He noted that during the recent West Asia conflict, under Operation Urja Suraksha, the Indian Navy safely escorted 18 merchant vessels carrying essential cargo worth over 9,000 crore, highlighting the force's growing role in protecting India's economic interests in addition to national security. The Defence Minister said indigenous warship construction contributes not only to defence preparedness but also strengthens manufacturing, precision engineering, electronics, software, logistics and other industrial sectors, generating employment and promoting technological innovation.",Srinagar,English,Kashmir Convener,POSITIVE,[]
2,Even Caesar did not send a lie to the Senate,"• Congress seeks privilege proceedings against Defence Minister Rajnath Singh for allegedly misleading Parliament regarding Operation Sindoor.
• The article emphasizes that ministers must provide accurate information to Parliament to uphold democratic accountability.
• The Speaker of the Lok Sabha may refer the matter to the Committee on Privileges for an official enquiry.",12-07-2026 15:38,423.87,"The ensuing Monsoon Session of Parliament is bound to be turbulent, as the Congress seeks privilege proceedings against Defence Minister Rajnath Singh, alleging that he misled Parliament over Operation Sindoor about the six soldiers who laid their lives in the line of duty. The Speaker, Lok Sabha, may seek the comments of the Minister or refer it to the Committee on Privileges for enquiry and report. The Speaker has the inherent power to close a matter if satisfied with the explanation tendered. The veracity or otherwise of the allegation will be ascertained after due procedural enquiry. However, the central question is what consequences would visit if a minister deliberately misled the Parliament. The veracity of statements made in the legislature by the members, including ministers, is a fundamental postulate of a deliberative democracy. Ordinarily, it is presumed that the statements made or answers given in Parliament are sacrosanct, unless proved otherwise. Parliament can function efficiently and effectively as the supreme deliberative body of the nation if accurate and complete information is furnished to it. The Council of Ministers is accountable to the Parliament and the information that they give to Parliament must be correct and complete, without which the doctrine of accountability would become a myth. Suppression of truth, giving convoluted answers or to mislead Parliament or its committees constitutes a breach of privilege. Therefore, greater responsibility is cast on a minister sworn to bear true faith and allegiance to the Constitution and to discharge his duties faithfully and conscientiously as a Minister for the Union. An inaccuracy or chance mistake may inadvertently creep in the statements made or replies given by a minister in Parliament. The Rules of Procedure and Directions of Parliament provide that in case any inaccuracy or mistake is detected in any answer given or statement made by a Minister, the same shall be pointed out as soon as it is detected and the mistake rectified with the permission of the Speaker. There are many instances of the Ministers making the correcting statements, especially of the answers given to questions. But making a misleading statement deliberately or concealing information from Parliament constitutes breach of privilege, unless the Minister invokes the plea of national interest. But making a false or deliberately misleading statement is grossly unethical, against sacrosanct parliamentary conventions and unpardonable. Untruthful or misleading statements undermine parliamentary democracy. 'Satyae Meva Jayatae' and 'Yato dharma tato Jaya' are the foremost ideals of India's great civilisational heritage. Many consider India as the mother of Democracy, and justifiably, with reference to Vedic texts and post-Vedic literature. The Indian civilisational texts of great antiquity lay immense stress on truth and righteousness. There are inscriptions in the old Parliament Building taken from the Mahabharata and the Manusmriti reminding that members of the Assembly must speak with righteousness, and the righteousness must be based on truth, and truth is not truth if it leads to deceit.",Raipur,English,Choice Times,NEGATIVE,[]
3,"Wars will won by soldiers, not by AI in future, Rajnath Singh","Defence Minister Rajnath Singh, speaking at the INS Mahendragiri commissioning in Visakhapatnam, stated that future wars will be won by soldiers and national resolve rather than AI. He highlighted Andhra Pradesh's role as a defence manufacturing hub and emphasized the government's balanced strategy of integrating modern technology with conventional military strength to ensure national security.",12-07-2026 15:21,78.96,"Visakhapatnam, Jul 11 (PTI) : Future wars may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and robust military power, Defence Minister Rajnath Singh said on Saturday. Speaking at the commissioning ceremony of INS Mahendragiri here, Singh also said Andhra Pradesh has emerged as a new powerhouse of India's defence and aerospace manufacturing. Highlighting the government's balanced approach towards defence modernisation, Singh said India is investing in next-generation technologies while simultaneously strengthening conventional military capabilities. He cited Operation Sindoor as an example of the effective integration of conventional and modern capabilities to safeguard national security.",Agartala,English,North East Colors,POSITIVE,[]
4,"AI may shape future battles, but soldiers will win them: Rajnath","• Union Defence Minister Rajnath Singh commissioned the indigenous stealth frigate INS Mahendragiri in Visakhapatnam.
• The warship, built by Mazagon Dock Shipbuilders, enhances the Indian Navy's maritime capabilities and self-reliance.
• Rajnath Singh emphasized that while AI is transforming warfare, national resolve and trained soldiers remain essential for victory.",12-07-2026 11:04,1345.97,"AI may shape future battles, but soldiers will win them: Rajnath. 'AP Emerging As Major Hub Of Defence Mfg'. Times News Network. Visakhapatnam: Union defence minister Rajnath Singh said the nature of warfare is changing rapidly, and future wars may be fought with artificial intelligence (AI), but they will still be won by national resolve, trained soldiers and credible military power. The Indian Navy on Saturday inducted the indigenously built advanced stealth frigate 'INS Mahendragiri' into its Eastern Fleet during a ceremony presided over by Rajnath Singh in Visakhapatnam. Speaking at the commissioning ceremony, Singh emphasised that while emerging technologies such as drones, AI, cyber warfare, space-based capabilities, hypersonic weapons and unmanned systems have transformed warfare, conventional military capabilities continue to form the bedrock of effective defence. ""Future wars may be fought with AI, but they will still be won by soldiers and capable military power,"" he said, stressing that advanced technologies and conventional platforms complement one another. He said Andhra Pradesh has emerged as a new powerhouse of India's defence and aerospace manufacturing, with Kurnool set to emerge as India's drone hub on the lines of Surat as Diamond City and Bengaluru as Silicon Valley. INS Mahendragiri reflects India's growing self-reliance in shipbuilding, underpinned by design capabilities, manufacturing excellence, growth of the naval-industrial ecosystem, and timely delivery of state-of-the-art platforms. It is the sixth Project 17A indigenous stealth frigate inducted into the Navy in just 18 months. The first ship 'INS Nilgiri' was commissioned in Jan 2025, followed by 'INS Udaygiri' and 'INS Himgiri' in Aug, 'INS Taragiri' in April this year and 'INS Dunagiri' last month. Designed by the Navy's Warship Design Bureau and built by Mazagon Dock Shipbuilders Limited (MDL), Mumbai, the ship can undertake fleet air defence, anti-surface warfare, anti-submarine warfare, maritime interdiction, surveillance and humanitarian assistance and disaster relief (HADR). ""INS Mahendragiri can be equipped with the BrahMos surface-to-surface missile, one of the world's fastest and most lethal cruise missiles. It also features multifunction radar and surface-to-air missiles capable of detecting and neutralising aerial threats at extended ranges. Its arsenal includes an indigenous rocket launcher, torpedo launchers, an integrated anti-submarine defence system, an electronic warfare suite and a close-in weapon system. All these capabilities make the warship formidable and resilient,"" Singh said. He voiced the government's commitment to maintaining a balanced approach by investing in next-generation technologies while strengthening conventional capabilities. ""Operation Sindoor was a prime example of effective integration of conventional and modern capabilities to safeguard national security,"" he said, adding that INS Mahendragiri symbolises the nation's commitment to building a technologically advanced and combat-ready Navy. He asserted that maritime and economic security are closely linked, with the seas vital to national security, trade, supply chains, energy security, and economic growth. Highlighting the Indo-Pacific's strategic importance, he reaffirmed his commitment to the vision of Security and Growth for All in the Region (SAGAR). Chief of the Naval Staff Admiral Krishna Swaminathan termed INS Mahendragiri a symbol of India's growing maritime capabilities and technological self-reliance.",Andhra Pradesh,English,The Times of India,POSITIVE,[]
5,"Tech may shape wars, but resolve wins them: Rajnath","• Defence Minister Rajnath Singh commissioned the stealth frigate INS Mahendragiri in Visakhapatnam.
• He emphasized that while AI and technology are crucial, national resolve and conventional military power remain essential for victory.
• He highlighted Andhra Pradesh's growing role as a key hub for India's defence and aerospace manufacturing ecosystem.",12-07-2026 11:04,797.6,"Tech may shape wars, but resolve wins them: Rajnath • Defence Minister commissions the stealth frigate INS Mahendragiri, saying future wars may rely on AI and advanced technologies but will ultimately be won by trained soldiers, national resolve and strong conventional military power • Notes AP is emerging as a key defence and aerospace manufacturing hub • Stresses that INS Mahendragiri will strengthen India’s maritime security and blue-water capabilities RANI DEVALLA VISAKHAPATNAM EVEN as emerging technologies such as Artificial Intelligence, cyber warfare, drone technology, space-based capabilities, unmanned systems and hypersonic weapons have largely transformed the crux of warfare, conventional military capabilities continue to hold sway as far as effective defence is concerned, emphasised Defence Minister Rajnath Singh. Presiding over the commissioning ceremony of the mission-primed INS Mahendragiri, the sixth in the Project 17A Nilgiri-class stealth frigate series, as chief guest at the Naval Dockyard in Visakhapatnam on July 11 (Saturday), the Defence Minister stated, “Future wars may be still be won by national resolve, trained soldiers and credible military power.” The Defence Minister underlined that Andhra Pradesh is serving as a major hub for the country’s defence ecosystem and is steadily emerging as a new powerhouse for defence and aerospace manufacturing in the country. “In Anakapalli, the foundation stone was laid for the new naval systems manufacturing facility of Bharat Dynamics Limited (BDL), while Core Integration and Flight Test-ing Centre to develop the Advanced Medium Combat Aircraft and other indigenous platforms in Puttaparthi. Weapon systems that we earlier used to import will now be manufactured in AP,” the Defence Minister stressed, adding that AP is contributing to India’s defence might across air, water, land and unmanned domains. Despite the emerging warfare technologies, Rajnath Singh underlined that advanced technologies and conventional platforms complement one another and exhorted young entrepreneurs, engineers, innovators and researchers to contribute to nation-building by developing technologies that reshape the future course of warfare and make India self-reliant. Highlighting Prime Minister Narendra Modi’s vision to maintain a balanced approach of investing in next-generation technologies and strengthening its conventional might, Rajnath Singh recalled, ‘Operation Sindoor was a prime example of the effective integration of conventional and modern capabilities to safeguard national security.” Asserting that maritime and economic securities are closely linked, the Defence Minister mentioned that the seas are vital not only for national security but also for trade, supply chains, energy security and economic growth. “India is a net security provider and a trusted partner dedicated to ensuring security and the region,” he highlighted, praising the Indian Navy for demonstrating this commitment through its role in HADR operations, anti-piracy missions, among a host of others. About the Indian Navy’s role during the West Asia conflict, the Defence Minister recalled that under the operation ‘Urja Suraksha’, Indian Navy safely escorted 18 merchant vessels, carrying essential cargo valued Rs.9,000 crore and stressed on the navy’s role as a key protector of India’s economic interests. The Defence Minister expressed confidence that INS Mahendragiri will further strengthen the overall maritime strategy of the eastern seaboard, expanding India’s blue-water reach and its presence in the Indian Ocean Region. “Indigenous warship construction stretches beyond creating combat platforms as it strengthens design capabilities, technological expertise, skilled manpower and world class maritime ecosystem. INS Mahendragiri is a symbol of the nation’s commitment to building a technologically advanced and combat-ready navy,” Rajnath Singh highlighted, emphasising that apart from producing indigenous ships, Indian shipyards are also catering to foreign countries’ needs. Defining INS Mahendragiri as the concluding ‘jewel’ of Mazagon Dock Shipbuilders Limited’s Project 17A programme, the Defence Minister lauded confidence that the frontline warship is certain to boost the Indian Navy’s multi-mission capabilities. 12/07/2026 | VISAKHAPATNAM | Page : 02",Andhra Pradesh,English,The Hans India,POSITIVE,"[""Rani Devalla""]"
6,AP emerging as defence mfg hub: Rajnath,Defence Minister Rajnath Singh commissioned the indigenously built stealth frigate INS Mahendragiri into the Indian Navy in Visakhapatnam. He highlighted Andhra Pradesh's growing role as a defence manufacturing hub. The event underscores India's progress in indigenous defence production and naval capabilities.,12-07-2026 11:03,809.15,"THE Indian Navy commissioned the indigenously built stealth frigate INS Mahendragiri into its Eastern Fleet in Visakhapatnam on Saturday, marking the induction of the sixth of the seven Project 17A Nilgiri-class stealth frigates. At the commissioning ceremony, Defence Minister Rajnath Singh underscored India’s progress in indigenous defence production and described Andhra Pradesh as an emerging centre for defence and aerospace manufacturing. “Andhra Pradesh has emerged as a new powerhouse of India’s defence and aerospace manufacturing. It is playing its role across air, water, land, and the unmanned domain,” he remarked, adding, “This means the weapon systems that we once used to import from abroad will now be produced near our own Vizag,” he said. He cited the foundation stone laying for the Advanced Medium Combat Aircraft (AMCA) Core Integration and Flight Testing Centre at Puttaparthi and Bharat Dynamics Limited’s upcoming Naval Systems Manufacturing Facility in Anakapalli, where autonomous underwater vehicles, torpedoes and underwater countermeasure systems will be produced. “AMCA in the skies, BDL’s naval systems in the depths of the ocean, Kurnool’s drones in the unmanned domain, and today, INS Mahendragiri on the surface of the sea signify that Andhra Pradesh is now contributing to India’s defence strength across every sphere,” he noted. The Defence Minister also underlined the changing character of warfare, observing that technological advances were transforming military operations without diminishing the importance of conventional capabilities. “Future wars may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and credible military power,” he remarked. Emerging technologies such as artificial intelligence, drones, cyber warfare, hypersonic weapons and space-based systems, he emphasised, complement rather than replace conventional military platforms. Citing Operation Sindoor, the Defence Minister pointed to the operation as an illustration of the effective integration of modern technologies with conventional military capability. The frigate was designed by the Indian Navy’s Warship Design Bureau and built by Mazagon Dock Shipbuilders Limited, Mumbai. With over 75% indigenous content, the 6,670-tonne warship can attain 28 knots. It is configured for fleet air defence, anti-surface and anti-submarine warfare, maritime interdiction, surveillance and HADR. It carries supersonic and medium-range missiles, stealth features, sensors, network-centric systems, anti-submarine weapons and a multi-role helicopter. It could also be equipped with the BrahMos missile system. Describing maritime security as integral to India’s economic interests, the Defence Minister observed that secure sea lanes were essential for trade, energy security and resilient supply chains. He noted that the Indian Navy’s humanitarian assistance, anti-piracy operations and evacuation missions had reinforced its role as a first responder and a preferred security partner in the Indo-Pacific. Referring to Operation Urja Suraksha during the West Asia conflict, he stated that the Navy had safely escorted 18 merchant vessels carrying cargo worth more than ₹9,000 crore. Chief of the Naval Staff Admiral Krishna Swaminathan described INS Mahendragiri as another milestone in indigenously built warship construction that would strengthen the Navy’s operational capability. Built with contributions from more than 200 Indian industries, including several MSMEs, the frigate is named after the Mahendragiri mountain range in the Eastern Ghats and will enhance the Navy’s operational reach in the Indian Ocean Region.",Andhra Pradesh,English,The New Indian Express,POSITIVE,"[""Usha Peri""]"
7,"‘Future wars will still be won by soldiers, not AI’","Defence Minister Rajnath Singh, speaking at the INS Mahendragiri commissioning in Visakhapatnam, emphasized that while AI is transforming warfare, national resolve and trained soldiers remain decisive. He highlighted India's balanced approach to modernizing defense capabilities and noted Andhra Pradesh's growing role as a defense manufacturing hub.",12-07-2026 10:13,1515.03,"PTI Visakhapatnam Future wars may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and robust military power, Defence Minister Rajnath Singh said on Saturday. Speaking at the commissioning ceremony of INS Mahendragiri here, Singh also said Andhra Pradesh has emerged as a new powerhouse of India's defence and aerospace manufacturing. Highlighting the government's balanced approach towards defence modernisation, Singh said India is investing in next-generation technologies while simultaneously strengthening conventional military capabilities. Defence Minister said that it is certain that new technologies have reshaped warfare, but they have not diminished the role of conventional warfare means. He cited Operation Sindoor as an example of the effective integration of conventional and modern capabilities to safeguard national security. ""Future wars may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and the capable military power. So, I would say that new technologies and conventional platforms are not opposed to each other, but supplement each other, complete each other. Without conventional platforms, new technologies are incomplete in themselves,"" he said. Singh opined, it is certain that new technologies have reshaped warfare, but they have not diminished the role of conventional warfare means.",Goa,English,The Navhind Times,POSITIVE,"[""PTI""]"
8,"Resolve, soldiers will win future wars, not just AI: Rajnath Singh","Defence Minister Rajnath Singh, at the commissioning of INS Mahendragiri in Visakhapatnam, emphasized that while AI is important, national resolve and conventional military strength remain decisive in future wars. He highlighted India's indigenous defence manufacturing capabilities and the Indian Navy's role as a net security provider in the Indo-Pacific region through operations like Operation Urja Suraksha.",12-07-2026 09:34,226,"PIONEER NEWS SERVICE Visakhapatnam Future wars may be fought with Artificial Intelligence (AI), but they will still be won by national resolve, trained soldiers and robust military power, Defence Minister Rajnath Singh said on Saturday. Speaking at the commissioning ceremony of INS Mahendragiri in Visakhapatnam, Singh also said Andhra Pradesh has emerged as a new powerhouse of India's defence and aerospace manufacturing. Highlighting the Government's balanced approach towards defence modernisation, Singh said India is investing in next-generation technologies while simultaneously strengthening conventional military capabilities. He cited Operation Sindoor as an example of the effective integration of conventional and modern capabilities to safeguard national security. ""Future wars may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and the capable military power. So, I would say that new technologies and conventional platforms are not opposed to each other, but supplement each other, complete each other. Without conventional platforms, new technologies are incomplete in themselves,"" he said. According to Singh, it is certain that new technologies have reshaped warfare, but they have not diminished the role of conventional warfare means. The strong conventional capability that is still necessary for the fulfilment of basic principles of war is as important as it was before. Emphasising that maritime security and economic security are closely interconnected, Singh said the seas remain vital for trade, supply chains, energy security and economic growth. He reaffirmed the Government's commitment to the Security and Growth for All in the Region (SAGAR) vision in the Indo-Pacific. Calling India a net security provider and trusted regional partner, Singh said the Indian Navy has consistently demonstrated its commitment through humanitarian assistance and disaster relief operations, anti-piracy missions and the evacuation of Indian and foreign nationals from conflict-hit regions, earning recognition as both a first responder and a preferred security partner. Referring to the Indian Navy's role during the recent West Asia conflict, Singh said under Operation Urja Suraksha, the Navy safely escorted 18 merchant vessels carrying essential cargo valued at more than ₹9,000 crore, highlighting its role in protecting not only national security but also India's economic interests. The defence minister said the successful induction of the warship demonstrates India's growing capability to design, build and deploy complex frontline combat platforms through indigenous expertise.",Raipur,English,The Pioneer,POSITIVE,[]
9,"Future wars will be won not just by AI, but by resolve and soldiers: Rajnath Singh","• Defense Minister Rajnath Singh commissioned INS Mahendragiri in Visakhapatnam, Andhra Pradesh.
• He emphasized that while AI is vital for future warfare, national resolve and trained soldiers remain essential for victory.
• The government is balancing investment in next-generation technology with the strengthening of traditional military capabilities to ensure national security.",12-07-2026 09:29,182.39,"Visakhapatnam: Defense Minister Rajnath Singh said on Saturday that future wars can be fought with the help of Artificial Intelligence (AI), but victory in them will still be achieved through national resolve, trained soldiers, and strong military power. While addressing the commissioning ceremony of INS 'Mahendragiri' into the Navy here, Singh also said that Andhra Pradesh has emerged as a new power center for defense and aerospace manufacturing in India. Emphasizing the government's balanced approach towards defense modernization, he said that India is investing in next-generation technologies while also strengthening traditional military capabilities. He cited 'Operation Sindoor' as an example of the effective integration of traditional and modern capabilities for national security. He said that future wars can be fought with the help of AI, but victory in them will be achieved only through national resolve, trained soldiers, and capable military power. Therefore, I would say that new technologies and traditional defense systems are not opposed to each other, but are complementary and complete each other. New technologies are incomplete in themselves without traditional systems.",Chennai,Hindi,Dakshin Bharath,POSITIVE,[]
10,"Wars will need soldiers and resolve, not just AI: Rajnath","Defence Minister Rajnath Singh commissioned the indigenous warship INS Mahendragiri in Visakhapatnam. He emphasized that while AI is important, national resolve and conventional military power remain essential for victory in future wars. He highlighted India's growing indigenous defence manufacturing capabilities and its role as a net security provider in the Indo-Pacific region.",12-07-2026 09:27,1393.3,"Visakhapatnam: Future wars may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and robust military power, Defence Minister Rajnath Singh said on Saturday. Speaking at the commissioning ceremony of INS Mahendragiri here, Singh also said Andhra Pradesh has emerged as a powerhouse of India's defence and aerospace manufacturing. Highlighting the government's balanced approach towards defence modernisation, Singh said India is investing in next-generation technologies while simultaneously strengthening conventional military capabilities. He cited Operation Sindoor as an example of the effective integration of conventional and modern capabilities to safeguard national security. ""Future wars may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and the capable military power. So, I would say that new technologies and conventional platforms are not opposed to each other, but supplement each other, complete each other. Without conventional platforms, new technologies are incomplete in themselves,"" he said. According to Singh, it is certain that new technologies have reshaped warfare, but they have not diminished the role of conventional warfare means. The strong conventional capability that is still necessary for the fulfilment of basic principles of war is as important as it was before. Emphasising that maritime security and economic security are closely interconnected, Singh said the seas remain vital for trade, supply chains, energy security and economic growth. He reaffirmed the government's commitment to the Security and Growth for All in the Region (SAGAR) vision in the Indo-Pacific. Calling India a net security provider and trusted regional partner, Singh said the Indian Navy has consistently demonstrated its commitment through humanitarian assistance and disaster relief operations, anti-piracy missions and the evacuation of Indian and foreign nationals from conflict-hit regions, earning recognition as both a first responder and a preferred security partner. Referring to the Indian Navy's role during the recent West Asia conflict, Singh said under Operation Urja Suraksha, the Navy safely escorted 18 merchant vessels carrying essential cargo valued at more than Rs 9,000 crore, highlighting its role in protecting not only national security but also India's economic interests. The defence minister said the successful induction of the warship demonstrates India's growing capability to design, build and deploy complex frontline combat platforms through indigenous expertise. The warship is equipped with an indigenous rocket launcher, torpedo launchers, an Integrated Anti-Submarine Defence System, an Electronic Warfare suite and a Close-In Weapon System, making it a formidable and resilient combat platform capable of operating in challenging maritime environments. Describing INS Mahendragiri as a ""blue-water warship"", Singh said it can effectively counter threats from the air, enemy vessels on the surface and submarines hidden beneath the sea, and can protect India's maritime interests not only near the coastline but also in distant and deep oceans during prolonged deployments. However, he stressed that conventional military capabilities continue to remain the bedrock of effective national defence. PTI",Raipur,English,The Times of India,POSITIVE,[]
