Sr. No.,Link,Headline,Channel,Summary,Translation unavailable,Language,Date & Time,Semtiment,Likes,Comments
1,https://www.youtube.com/watch?v=U_DaHyhRlcs,Tata-Adani's entry into Missile Manufacturing! What is the Modi government's plan? Astra Missile | Defence,NavBharat Live,"- Prime Minister Narendra Modi’s government plans to invite private firms like Tata and Adani to manufacture missiles.
- This move aims to boost India's defense production, reduce dependency, and transform the nation into a major global weapons exporter.
- Collaborations between private companies and the Defense Research and Development Organisation (DRDO) are expected to accelerate technological growth and strengthen national security.","India no longer wants to be just a country that buys weapons, but wants to become a power that sells weapons to the world. In this direction, the Modi government is preparing to take a big step. There is news that the Indian government is seriously considering the entry of private companies into the sensitive defense sector like missile manufacturing. That is, in the coming time, Tata, Adani, Mahindra, Bharat Forge and many big Indian companies will not remain limited to vehicles, infrastructure or telecom, but can also make missiles. But the question is, why is the government feeling the need to do this? Are government companies not able to meet the demand for missiles? And if private companies enter the defense sector, what will India benefit from this? Let's understand in detail. Hello, my name is Tanmay and you are watching 'Nau Bharat Life'. Actually, in the last few years, India has taken steps towards self-reliance in the defense sector rapidly. In such a situation, the government's goal is that India can be included among the big defense exporters of the world. This is the reason why special focus is being given to defense production under the 'Make in India' and 'Atmanirbhar Bharat' campaigns. Meanwhile, Prime Minister Narendra Modi's recent visit to Indonesia has also created a new opportunity. Indonesia has shown interest in India's indigenous air-to-air missile 'Astra Mark-2'. This is not an ordinary missile; the Astra missile has been developed by the DRDO, that is, the Defence Research and Development Organisation. This is a Beyond Visual Range, or BVR, missile. This means it can target an enemy aircraft from such a distance that the pilot cannot even see it with his own eyes. The strike capability of the Astra Mark-2 is said to be about 180 to 200 kilometers. It can track and destroy enemy aircraft that change direction at high speed. This is the reason why many countries of the world are eyeing this missile today. But here, another big challenge is coming to the fore. Currently, the production of Astra missile is mainly done by the government company 'Bharat Dynamics Limited' or BDL. The problem is that the current production capacity is not able to meet the requirements of the Indian Army and Air Force. In such a situation, if big orders start coming from abroad, it will become necessary to increase production. This is where the role of private companies begins. According to sources, the government is now planning to include big private players in defense production. In this list, the names of Tata Group, Adani Group, Mahindra, Bharat Forge, IComm, and several other companies are coming up. These companies already have experience in heavy engineering, manufacturing, electronics, and high-tech production. The government believes that if the capacity of these companies is utilized in the defense sector, the pace of missile production can increase manifold. In fact, after Operation 'Sindoor', the world's perception of Indian weapons has suddenly changed. During this operation, there were discussions at the international level about Indian defense technology and the capability of indigenous weapons. The BrahMos missile has already made its mark in the world. Countries like the Philippines have already purchased BrahMos, and now the Astra missile is also becoming a subject of discussion in the international market. This means India has a big opportunity. If production is increased, India can take a big leap in the field of defense exports. The government believes that the participation of private companies in the defense sector will not only increase production but also increase competition, new technology will come, R&D will gain momentum, and new employment opportunities will be created. However, the defense sector is not a normal industry. It is a matter related to national security, so the government will not allow any private company to make missiles directly. Strict security standards, technical qualifications, and government surveillance will be in place for this. It is likely that in the beginning, private companies will work with government agencies and DRDO to produce, meaning the technology will be the government's and the private sector will cooperate in production. This model is already being used in many countries of the world. In countries like America, France, Britain, and Israel, a large part of defense production is in the hands of private companies. India is also now seen moving in that direction. Experts believe that if this plan is successful, India will not only fulfill the needs of its army but will also be able to record a strong presence in the global defense market. The demand for weapons is increasing rapidly across the world. Amid the Ukraine war, tension in West Asia, and the security challenges in the Indo-Pacific region, many countries want to increase their military strength. In such a situation, this can become a big economic and strategic opportunity for India. That is, in the coming time, companies like Tata, Adani, and Mahindra can play an important role not only in the business world but also in strengthening India's defense technology. And if that happens, India's defense sector can enter a new era, where India will not just buy weapons, but will move forward in the direction of becoming a superpower that sells weapons to the world. It remains to be seen when and in what form the government implements this plan. But it is certain that a big change has knocked in India's defense sector. What is your opinion about this news? Please tell us by commenting.",Hindi,12-07-2026 16:30,POSITIVE,0,0
2,https://www.youtube.com/watch?v=gZB8SHTBbfE,Modi’s Australia visit: From “chaiwala” to “flat white coffee”,Brut India,"- Prime Minister Narendra Modi addressed the Indian diaspora in Melbourne, Australia.
- He highlighted India's rapid economic growth under his leadership.
- PM Modi referenced India's strong stance against terrorism, emphasizing decisive security actions.","Hey tea-seller, greetings, how are you? Milk in the house comes from Australia, but the tea is made the Indian way. Hey tea-seller, the lentils and vegetables are from Australia, but they are seasoned with indigenous spices. I was also waiting to meet the people of Melbourne, so I thought this time I would have a flat white coffee with the people of Melbourne. This is the India that says grow more, achieve more. We are the fastest growing economy in the world. During Operation Sindoor, during Operation Sindoor, you must have seen the demo; the explosions were happening at the terrorists' hideouts, and the echoes were being heard all over the world.",Hindi,10-07-2026 13:57,POSITIVE,251,31
3,https://www.youtube.com/watch?v=oND65yahNUk,"Are you listening, Vinod! 📢📢",Indian National Congress,"Addressing ""Vinod,"" the speaker critically highlights various government failures and hypocrisies. They point out that despite 21 child deaths, the education minister remains in power. The speaker criticizes the government for not reducing petrol/diesel prices despite cheap crude oil, mixing ethanol in fuel, and a failing foreign policy. They also accuse the government of inaction on environmental issues and deaths from fake medicines, merely acknowledging them in Parliament. The speaker states the government collects high taxes but fails to control inflation, avoids responsibility for crises like Manipur or Pahalgam attacks, instead resorting to abuses in Parliament, hides martyrs' sacrifices, gives clean chits to China, and surrenders to Trump, all while remaining silent on India's insults, effectively ""destroying the country.""","Are you listening, Vinod! 21 children died, yet this education minister is sitting on his chair. Are you listening, Vinod! Your cars became scrap, yet they are mixing ethanol in petrol. Are you listening, Vinod! Crude oil became cheap, yet they didn't make your petrol and diesel cheaper. Are you listening, Vinod! Foreign policy has gone to the pits, but their laser reels are still coming today. Are you listening, Vinod! Whether trees are cut or forests are destroyed, or you get sick from pollution, they don't say a single word. Are you listening, Vinod! Many people died from fake medicines, they just keep saying 'it happened' in Parliament. Are you listening, Vinod! They will collect hefty taxes from you, but they don't control inflation. Are you listening, Vinod! Whether Manipur burns or there's an attack in Pahalgam, they don't take responsibility, but they do give abuses in Parliament. Are you listening, Vinod! They hide the martyrdom of the martyrs of Operation Sindoor and Are you listening, Vinod! I give a clean chit to China. As soon as Trump speaks, I surrender. I remain silent on India's insult. Are you seeing, Vinod, how I am destroying the country?",Hindi,10-07-2026 05:15,NEGATIVE,0,9
4,https://www.youtube.com/watch?v=Enq1PeoQpJ8,Gujarat Superfast | Today's News | Latest News | Top Headlines | Today Superfast | News18 Gujarati,News18 Gujarati,"Heavy rains and floods have severely disrupted daily life across various parts of India, including Jalgaon and Ratnagiri in Maharashtra, Reasi in Jammu & Kashmir, Tripura, Aligarh and Prayagraj in Uttar Pradesh, and Delhi-Noida. Rivers have overflowed, low-lying areas are submerged, roads resemble rivers, and water has entered homes and shops. In Tripura, over 2500 people sought shelter in relief camps. Surat is assessing the damage after floodwaters receded, with Podar Market reporting crores in losses and traders accusing authorities of negligence. Efforts are underway in Olpad's Sayan to prevent epidemics by spraying insecticides.

In Ahmedabad, a road expansion project towards the Narendra Modi Stadium is progressing. Significant action was taken against fennel adulteration in Unava. Ambaji Temple initiated a cleanliness drive after 50 years of its renovation, with a Vadodara-based company undertaking the 1 crore project free of charge. Political activity is heating up with by-elections in Manjalpur and Junagadh. Ahead of the Rath Yatra, a law and order review meeting introduced a smart tracking system for elephants. Prime Minister Modi addressed the Indian community in Melbourne, highlighting the strengthening India-Australia ties and India's development goals, including becoming the third-largest economy. Congress conducted a review meeting in Jamnagar, Dwarka, and Porbandar districts to assess the political situation.","In Jalgaon, Maharashtra, floods in the Dongra river brought the Kedarkund and Dhaval Teerth waterfalls to life. The river, a main source, took on a fierce form, with its flow heading towards Valathan Dam. Nature lovers rejoiced as the famous waterfalls flowed with immense force. In Ratnagiri district, Maharashtra, heavy rains disrupted daily life. People faced difficulties as homes in Bhingloli and Samarthnagar were waterlogged. A strong current flowed like a river on the roads, affecting vehicular traffic due to widespread waterlogging. In Reasi, Jammu and Kashmir, heavy rains caused widespread waterlogging. Scenes of rivers flowing on the roads emerged, with water entering houses and shops. Daily life was affected by waist-deep water. In Tripura, continuous rain caused reservoirs to overflow, submerging low-lying areas. Thousands were forced to leave their homes, with over 2500 people taking shelter in various relief camps set up across the state. In Aligarh, Uttar Pradesh, many areas were submerged from Wednesday due to rain. Roads turned into lakes. Vehicular traffic was disrupted as water filled up to the court premises. Locals faced great hardship due to waterlogging. In Prayagraj, Uttar Pradesh, low-lying areas were flooded after heavy rains. Locals faced difficulties as water filled the streets in Akbarpur area of Phulpur. Water is not being properly drained due to non-cleaning of sewers and drains. Heavy rain in Delhi and Uttar Pradesh. Waterlogging on roads in Noida. Roads submerged due to heavy rains. Many vehicles stuck in water. Vehicle drivers faced a difficult situation. Destruction in Surat after the water receded. Podar Market suffered losses worth crores due to waterlogging. Heavy damage in more than 200 shops. Traders claim losses of around 250 crores. Traders accuse the administration. They allege that no SMC official responded appropriately despite being informed. The responsibility of draining the water was left to the traders. Accusations that local MLA, corporator or any other responsible official did not come to help. Creek floods receded in Sayan of Olpad. Sayan Gram Panchayat sprayed 1500 kg of insecticide powder. The administration is ready to prevent an epidemic. Garbage accumulated on the roads was also removed. Flood waters receded in Surat but hardship continues. After the water receded in Parvat village, leaders rushed to take photos. They reached with tractors in knee-deep water. People criticized the politicians who appeared after the floods. Scenes of confrontation between corporators and locals. After the water receded in Parvat village, there were piles of dirt and mud everywhere. In some areas, creek water has not yet receded. Residential areas still have 5 to 7 feet of water. The situation is critical in Saniya Hemad, Kumbharia, Magob and Limbayat. Road expansion work from Janpath three roads towards Narendra Modi Stadium. TP Road will be widened to 61 meters. Mega road widening project in Sabarmati ward given momentum. No compromise will be made with the health of citizens. Strict action by Minister of State for Health Praful Panseria against those adulterating fennel in Unava Unjha. 26 tons of fennel worth Rs 19.6 lakh mixed with chemical color was seized. Approximately 50 years completed since the renovation of Ambaji Temple. Cleanliness drive started in the temple. Yellowish and black stains on marble stones will be removed. Shine will return with power wash and steam wash. The cost of cleaning the temple's marble is estimated at Rs 1 crore. A Vadodara company undertook all the work free of charge. The work will be done in three phases in the next six months. BJP ticket scramble for Manjalpur assembly by-election. Candidates' 'Rapalu' broke out during the sensus process. More than 100 contenders in the fray. Possibility of candidate announcement by July 12. By-election for one seat in Ward No. 3 of Junagadh will be held on July 28. BJP conducted the sensus process. Former corporator Abbasbhai Akram Qureshi filed his candidature. Abbas was jailed after being booked for 'Gutsi Talk'. A new chapter of friendship between Australia and India and Prime Minister Modi's mega show in Melbourne. 'Modi Modi' slogans echoed in the stadium. PM Modi addressed the Indian community and said that India-Australia relations are at a new height. PM Modi said that people living abroad are connected with India. India's 'tadka' in Australian kitchens too. 21st century India is on the path of becoming developed. India always says 'Grow More'. India will become the third largest economy. In Melbourne, PM Modi mentioned 'Operation Sindoor'. He said that the impact of attacks on terrorist hideouts echoed throughout the world. Today, from Jeep to Ship and Chip manufacturing, India is developing a new ecosystem. Harsh Sanghavi in action mode before Rath Yatra. A high-level meeting was held under the chairmanship of the Deputy Chief Minister. Detailed review of the law and order situation. For the first time in history, 'Gajrakshak Smart Tracking System' for elephants. 'Pratiraksha App' will be used for verification of other truck operators. Appointment of chairmen of remaining committees in Rajkot District Panchayat. District Panchayat President's clarification on the discussion of drinking during the training class in Sasan Gir area. He called it a conspiracy of opponents and rejected the allegations made against him. He said I was not in any alleged condition. Congress review meeting held in Jamnagar. State Congress President Amit Chavda and Mukul Wasnik among other leaders were present. Political situation of Jamnagar, Dwarka, Porbandar districts was reviewed. Organizational changes will be made as per requirement after the review. BJP's effort to reach the minority community in Narmada district is more active. Through the organization, various schemes...",Gujarati,10-07-2026 00:30,NEGATIVE,11,0
5,https://www.youtube.com/watch?v=_ySNsIsmxuw,Today's 12 PM Top News Headlines | 09 July 2026 | US-Iran War| PM Modi | Rahul | News 24,News 24,"Heavy rainfall caused landslides and cloudbursts in J&K, Himachal, and Uttarakhand, leading to significant damage in states like Mumbai, Delhi NCR. TMC faced a setback as three former Rajya Sabha MPs joined the BJP. In Melbourne, PM Modi held a successful mega show, where he announced that during 'Operation Sindoor,' explosions at terrorist hideouts were heard globally, highlighting India's proactive steps against terrorism.","Heavy rainfall wreaked havoc from mountainous to plain regions, causing landslides and cloudburst destruction in Jammu and Kashmir, Himachal, and Uttarakhand. Heavy damage from floods and rain occurred in many states, including Mumbai, Delhi NCR. TMC suffered another setback as three former Rajya Sabha MPs — Sushmita Dev, Prakash Chik Baraik, and Sukhendu Sekhar Roy — joined BJP. They were presented with BJP scarves in the presence of Bengal BJP President Samik Bhattacharya. PM Modi held a mega show at a stadium in Melbourne, drawing a massive crowd. PM Modi stated that during 'Operation Sindoor,' explosions at terrorist hideouts resonated, and the world heard it. America...",Hindi,09-07-2026 19:19,POSITIVE,0,0
6,https://www.youtube.com/watch?v=RgF6qer2rBM,Indonesia Will Buy BrahMos Missile! Big Defence Deal for India from PM Modi's Visit,Nitipath,"During PM Narendra Modi's visit to Indonesia, discussions centered on a BrahMos supersonic cruise missile deal. India and Indonesia signed 20 agreements, under which India will supply additional BrahMos missile units to Indonesia, making it the third buyer after the Philippines and Vietnam. Indonesia also plans to acquire India's indigenous 'Astra' air-to-air missile. India is now exporting over 15 types of weapons and defense equipment globally, including BrahMos, Akash, Pinaka, Astra, patrol vessels, and artillery systems. This continuous growth in defense exports is establishing India as a reliable supplier in the global defense industry, rather than just a buyer.","During Prime Minister Narendra Modi's visit to Indonesia, the most discussed topic is the deal for BrahMos supersonic cruise missiles. Between India and Indonesia, 20 important agreements were signed, under which India will provide additional units of BrahMos missiles to Indonesia. So now, after the Philippines and Vietnam, Indonesia has also become the third country to buy India's BrahMos missile. And not only that, Indonesia has also decided to buy the indigenous air-to-air missile named 'Astra', which was used by India in 'Operation Sindoor'. This means that if you look at India's defense exports today, our country has started exporting more than 15 types of weapons and defense equipment to many countries around the world. These include BrahMos missile, Akash Air Defense System, Pinaka Rocket System, as well as Astra missile, patrol vessels, artillery systems, military vehicles, and many other defense equipment. In the last few years, India has been continuously setting new records in its defense exports. This means that India is now not just a country that buys defense equipment, but has started building its new strong identity as a reliable supplier in the global defense industry. So what would you like to say about this new flight of India? Do send us your opinion in writing. Jai Hind.",Hindi,08-07-2026 08:09,POSITIVE,42,0
7,https://www.youtube.com/watch?v=XumS1uD4ZSk,Have the Three Armed Forces Snubbed Rajnath Singh? A Rebellion Over Agniveer!,Bolta Hindustan,"In 2022, the Modi government launched the Agnipath (Agniveer) scheme as a major reform for the armed forces, but it faced immediate opposition from Rahul Gandhi, other politicians, and ex-military personnel who advocated for a permanent army, warning of harm to national security and military ethos. The government, however, proceeded with the scheme. Now, all three branches of the armed forces – Army, Navy, and Air Force – are collectively demanding that the Agniveer system be discontinued, specifically challenging the provision of retaining only 25% of Agniveers after four years of service. They propose increasing this retention to at least 50%, with the Navy aiming for 75%, arguing that four years is insufficient to train expert soldiers, especially in technical fields. The current system leads to poor returns on training investment as 75% of trained personnel leave. Lessons from Operation Sindoor highlighted the need for experienced personnel and to address a shortage of 1.8 lakh soldiers. The government's reluctance stems from a desire to avoid pension costs, prioritizing weapon procurement over soldier benefits. The proposal is currently under discussion in the Ministry of Defence, and the government is now considering welfare measures for martyred or disabled Agniveers, echoing earlier opposition concerns. The armed forces assert that national defense cannot be compromised and a permanent, highly trained force is essential.","In 2022, the government, the Modi government, launched a very major scheme called Agniveer. It was stated to be a huge reform in the army. The opposition and Rahul Gandhi opposed it, saying, 'Withdraw it, the country needs a permanent army, not a contractual one.' Many former military personnel also opposed it, stating that it would hurt the fundamental spirit of the army and harm the nation. But the government said, 'Modi ji does things after careful consideration.' Its implementation began in 2022. The government did not listen to the opposition, experts, or ex-army personnel. Now, the army itself has bluntly told the government: 'We don't want more Agniveers; this Agniveer system will not work anymore.' The Air Force, Navy, and Army are all saying, 'End this four-year system, it cannot continue now.' Under the Agniveer scheme, only 25% of Agniveers who completed four years of service would get permanent jobs. Now, the Army, Navy, and Air Force are collectively saying in one voice that this 25% system will not work; increase it. 'Let the army work as an army should. This contractual-based army system cannot work in India. Increase the 25%.' According to an Indian Express report, the difficulties faced by the army during Operation Sindoor last year made them realize that Agniveer sounds good, it might be Modi ji's dream, but it's not right for the army. All three armed forces want this 25% to be increased. The Navy wants it to be 75%, while the Army and Air Force want a target of at least 50%. This is a bone of contention for the government because they don't want to pay pensions. They say they have money to buy weapons but not to give pensions to soldiers. This proposal has not been finalized yet; discussions are ongoing in the Ministry of Defence. The three armed forces want to increase it because you cannot make any soldier an expert in four years. In many technical jobs in the Navy, it takes more than three years just to learn basic operations. If 75% of trained soldiers leave, the return on training investment is low. The army needs soldiers for a longer duration after their training. The lesson from Operation Sindoor is that Agniveers should be given more time so that they become experienced. The 25% limit must be removed. There is also a shortage of soldiers, approximately 1.8 lakh soldiers are needed. This will only happen when the 25% clause is removed. Besides increasing retention, the government might consider lifelong financial assistance for the families of martyred Agniveers, free treatment for disabled Agniveers, and medical cover. This means the government is now willing to accept many of the objections raised by Rahul Gandhi, which it previously rejected, because the army is saying in unison: 'We don't want Agniveers; we want more permanent, trained army personnel.' They should be vigilant and be able to capture their enemy in the blink of an eye. It should not be that someone we trained for four years retired after four years. That means the number of retirees will be high, and trained people will keep retiring. New people will come, they will also be trained, and they will retire. Who will you get work from? When the training period itself is so long. When technology is advanced and there is no shortcut to understanding that technology, you have to give it time. Now the government is realizing, perhaps it will understand, because the file is still pending in the Ministry of Defence, what the army wants. What is the need of this country? The army is saying that compromise with the country's defense and security will not work anymore.",Hindi,07-07-2026 15:14,NEGATIVE,497,53
8,https://www.youtube.com/watch?v=CTkePweoMZY,NIA charge sheet LeT as conspirator in Pahalgam terror attack! | Ayyanathan.K | The Rooster News,THE ROOSTER NEWS ,"The NIA charge sheet states that Pakistan-based LeT and its front organization, TRF, planned last year's Pahalgam terror attack, naming LeT chief Hafiz Saeed as the prime accused. Operatives Faisal Jatt, Habib Tahir, and Hamza Afghani were killed, and local facilitators were also charged. India responded with 'Operation Sindoor,' destroying nine terrorist camps in Pakistan and PoK, killing Hafiz Saeed's family (though he escaped). Despite this, the speaker notes, the US did not condemn LeT but instead stopped Operation Sindoor and later awarded Pakistan's Army Chief. The speaker criticizes the Modi-Trump friendship as deceptive, arguing that India's foreign policy is weak, as evidenced by its silence on the Iran war and support for the US-Israel attack. The clip concludes with a call for media to serve the public and a brief advertisement.","The NIA's charge sheet names Faisal Jatt alias Suleiman Shah, Habib Tahir alias Jibran, and Hamza Afghani as those shot dead after the Pahalgam terror attack that killed 20 tourists. Local individuals Parvez Ahmed and Bashir Ahmed Jodhar, who provided accommodation to these terrorists, are also included. The NIA has filed a charge sheet stating that Lashkar-e-Taiba (LeT) and The Resistance Front (TRF), both Pakistan-based, planned and executed the April 22 Kashmir Pahalgam terrorist attack. LeT chief Mohammed Hafiz Saeed is named as the primary accused, and TRF is identified as an LeT 'front organization.' In retaliation, PM Modi delegated responsibility to India's armed forces. 'Operation Sindoor' saw the Indian Air Force and Army destroy nine terrorist camps, five in Pakistan-occupied Kashmir and four in Pakistan. Hafiz Saeed's family was killed in this operation, though he escaped. The bodies of the deceased were reportedly given state honors in Rawalpindi by Pakistani President and PM. Despite these facts in the NIA charge sheet, the US did not condemn LeT or Pakistan. Instead, America reportedly pressured India and Pakistan to cease hostilities, stopping Operation Sindoor within three days. Subsequently, President Trump invited the Pakistan Army Chief to the White House and awarded him. The speaker questions the sincerity of statements by Trump calling Modi 'my friend' and Modi calling Trump 'India's friend,' considering this incident. The Modi government's continued claim of good relations with the US and maintenance of that friendship, despite the US honoring Pakistan's army chief, is seen as regrettable. The speaker states that this diplomatic stance led to India's silence on the Iran war and its support for the US-Israel attack on Iran, demonstrating a weak foreign policy. The NIA charge sheet further details the involvement of the named terrorists and local facilitators. The clip concludes with a call for media to serve the public and a brief advertisement for Ma Naturals.",Tamil,06-07-2026 15:30,NEGATIVE,23,0
9,https://www.youtube.com/watch?v=4N1Rr1Go2uE,NIA's Charge Sheet on Pahalgam Attack | #pahalgamattack #jammukashmirnews #operationsindoor #pakistannews,Bharat 24 - Vision Of New India ,"The NIA has filed a charge sheet in the Pahalgam attack, naming Hafiz Saeed as the main accused. The investigative agency has also filed a supplementary charge sheet against the terrorist mastermind Hafiz Saeed, who is based in Pakistan. In the charge sheet submitted to a special NIA court in Jammu and Kashmir, Hafiz Saeed has been individually charged and identified as the chief founder of Lashkar-e-Taiba and its proxy organization, The Resistance Front (TRF).","And big news is coming that the NIA has filed a charge sheet in the Pahalgam attack case. The special thing is that in its charge sheet, the NIA has made Hafiz Saeed the main accused, meaning Hafiz Saeed is behind the attack that took place. The NIA, investigating the Pahalgam terrorist attack, has submitted its charge sheet, and taking a big step in this matter, a supplementary charge sheet has been filed against the terrorist mastermind Hafiz Saeed, who is sitting in Pakistan. And in this charge sheet filed in the special NIA court of Jammu and Kashmir, Hafiz Saeed has been personally named as an accused and has been nominated as the chief founder of Lashkar-e-Taiba and its proxy organization, The Resistance Front (TRF).",Hindi,06-07-2026 11:20,POSITIVE,1,0
10,https://www.youtube.com/watch?v=GbYkt8G7XjU,"Netanyahu trapped Modi, Congress launched an offensive, America showed Modi his place!",4PM,"US VP JD Vance reportedly told Israeli PM Netanyahu that Israel's only ally is America. Netanyahu responded, asserting India is with him, emphasizing the strength India's 1.4 billion people bring. The report highlights Congress's anger, noting America's explicit support for Israel, contrasting it with the US's historical reluctance to openly declare ""we stand with India"" on various issues. This led Netanyahu to publicly acknowledge India as his ally when faced with perceived global isolation. The text concludes by mentioning an upcoming statement from Congress's Jairam Ramesh.","Welcome, friends, to 4 PM News Network. I am Rashi Zaheer with you. The statement India was longing to hear did come out of America's mouth, but it wasn't for India and Modi; it was for Israel. Congress has also become enraged. The point is that their Vice President, JD Vance, taunted Israel, specifically Netanyahu, by saying that he has no ally other than America. Netanyahu responded, saying that India is with him. And there's no doubt that when a country of 1.4 billion people like India sides with someone, that side often gains strength. It's a different matter that most of Netanyahu's fans, whether on Facebook or Instagram, have been seen celebrating with Netanyahu over Gaza. But that's not the main point, friends, that's not the real news. The news is that the statement from Congress reveals that America has never openly been able to say, until now, whether it's the issue of Pahalgam or Sindoor or anything else, that ""we stand with India."" But it is speaking for Israel, and Israel said, ""No, I am not isolated; India stands with me."" Friends, I'll show you that JD Vance said Israel, meaning Netanyahu, should understand that an ally like America is with them. When Israel became isolated globally, if there are two countries to stand with it, one is India and the other is America. However, America spoke for Israel but never for India. Congress's anger was justified. A statement from Congress's Jairam Ramesh...",Hindi,06-07-2026 10:25,POSITIVE,344,12
