platform,url,author,author_display_name,author_identity,author_category,author_followers,date,time,type,title,text,language,views,likes,comments,shares,reposts,bookmarks,reach_claimed_est,engagement_total,media_url,replied_to_url,replied_to_user,quoted_url,analyzed,row_relevant,stance,role,bloc,narrative,misinfo_suspect,misinfo_claim,summary
Digital news,http://www.uniindia.com/vice-president-radhakrishnan-pays-tribute-to-soldiers-visits-key-heritage-and-development-sites-in-ladakh/north/news/3883379.html,uniindia.com,Web,,,,2026-06-20,18:53,coverage,"Vice President Radhakrishnan pays tribute to soldiers, visits key heritage and development sites in Ladakh","Officials said the Vice President visited the Hall of Fame War Memorial in Leh, where he paid tribute to personnel of the Indian Armed Forces who laid down",English,,,,,,,0,0,,,,,True,False,0,neutral_reporter,,neutral_news,False,,Vice President visits Leh war memorial and pays tribute to soldiers.
Digital news,https://buddhisttimes.wordpress.com/2026/06/20/vice-president-meets-itbp-personnel-in-ladakh-lauds-their-dedication-to-safeguarding-the-nations-frontiers/,buddhisttimes.wordpress.com,Web,,,,2026-06-20,21:01,coverage,Vice-President Meets ITBP Personnel in Ladakh; Lauds Their Dedication to Safeguarding the Nation’s Frontiers | buddhisttimes,"At the Hall of Fame War Memorial in Leh, the Vice-President paid homage to the brave soldiers of the Indian Armed Forces. He lauded the unwavering",English,,,,,,,170,0,,,,,True,False,0,neutral_reporter,,neutral_news,False,,Vice-President pays homage at Leh Hall of Fame War Memorial.
Digital news,"[""https://www.sentinelassam.com/north-east-india-news/tripura-news/northeast-leaders-lead-12th-international-day-of-yoga-celebrations-across-region""]",Sentinel Assam,Web,,,,2026-06-22,11:08,coverage,Northeast Leaders Lead 12th International Day of Yoga Celebrations across Region,"SHILLONG/AGARTALA/IMPHAL:Leaders across the Northeast marked the12th International Day of Yogaon Sunday with mass participation programmes, highlighting the imp",English,,,,,,,0,0,,,,,True,False,0,neutral_reporter,,neutral_news,False,,Rajnath Singh leads Yoga Day with forces; CDS at War Memorial.
Digital news,https://www.pw.live/school-prep/exams/cbse-class-7-en-notes-chapter-13,pw.live,Web,,,,2026-06-26,05:30,coverage,CBSE Class 7 en Notes Chapter 13 – A Homage to Our Brave Soldiers PDF,The National War Memorial is located in New Delhi. · It was built to honour Indian soldiers who sacrificed their lives after 1947. · The memorial reminds every,English,,,,,,,2147,0,,,,,True,False,0,bystander,,other,False,,CBSE notes on National War Memorial for post-1947 soldiers.
Digital news,"[""https://www.tribuneindia.com/news/defence/uae-military-delegation-sees-military-prowess-along-indias-western-front/""]",The Tribune,Web,,,,2026-06-26,09:59,coverage,UAE military delegation sees military prowess along Indiaâ€™s western front,A military delegation from the UAE has been shown around Indian Armyâ€™sÂ Â  firepower and training abilities. The delegation leader Brig Gen Staff Mohamed Kham,English,,,,,,,0,0,,,,,True,False,0,neutral_reporter,,neutral_news,False,,UAE military delegation visits Indian Army facilities and National War Memorial.
Digital news,https://www.livemint.com/news/india/in-a-first-centre-releases-names-of-six-soldiers-killed-in-operation-sindoor-heres-what-we-know-11782456586928.html,livemint.com,Web,,,,2026-06-26,12:26,coverage,"In a first, Centre releases names of six soldiers killed in Operation Sindoor: Here's what we know | Today News","The Centre, on Friday, for the first time, officially disclosed the names of six Indian military ... Indian armed forces during the operation. Who were the",English,,,,,,,1648,0,,,,,True,True,-1,misinfo_spreader,critical,memorial_first_disclosure,True,Centre first-time releases names of six soldiers,Claims first-time official release of six Op Sindoor soldiers' names.
Digital news,https://en.mathrubhumi.com/news/india/operation-sindoor-national-war-memorial-roll-of-honour-yx474ib2,mathrubhumi.com,Web,,,,2026-06-26,12:47,coverage,Operation Sindoor: 6 Military Personnel Added to National War Memorial | Mathrubhumi en,"The National War Memorial, inaugurated in 2019 near India Gate in New Delhi, commemorates members of India's armed forces who have laid down their lives in",English,,,,,,,0,0,,,,,True,True,0,neutral_reporter,neutral,neutral_news,False,,Six Operation Sindoor military personnel added to National War Memorial
Digital news,https://theshillongtimes.com/2026/06/26/6-soldiers-martyred-during-operation-sindoor-to-be-immortalised-at-national-war-memorial/,theshillongtimes.com,Web,,,,2026-06-26,13:11,coverage,6 soldiers martyred during ‘Operation Sindoor’ to be immortalised at National War Memorial - The Shillong Times,The names of these martyred soldiers will be inscribed at the National War Memorial in the national Capital. Their names will be engraved on the granite bricks,English,,,,,,,0,0,,,,,True,True,0,neutral_reporter,neutral,memorial_first_disclosure,True,names made public for the first time,Six Op Sindoor martyrs' names made public first time for war memorial.
Digital news,https://sarkarnama.esakal.com/desh/operation-sindoor-martyrs-national-war-memorial-six-soldiers-names-revealed-india-jap93,esakal.com,Web,,,,2026-06-26,13:21,coverage,Operation Sindoor Martyrs | National War Memorial Heroes | 'ऑपरेशन सिंदूर'बाबत पहिल्यांदाच उघड झाली धक्कादायक माहिती; 6 शहीद जवानांची नावे आली समोर...,Operation Sindoor martyrs honored at National War Memorial. Government reveals names of six brave soldiers who sacrificed their lives for India | जम्मू आणि,English,,,,,,,0,0,,,,,True,True,0,neutral_reporter,neutral,memorial_first_disclosure,True,names revealed for the first time,Claims first-time reveal of six Op Sindoor martyrs now at war memorial.
Digital news,"[""https://www.freepressjournal.in/india/who-were-the-6-soldiers-killed-in-action-during-operation-sindoor-centre-reveals-names-for-1st-time""]",Free Press Journal,Web,,,,2026-06-26,13:52,coverage,Who Were The 6 Soldiers Killed In Action During Operation Sindoor? Centre Reveals Names For 1st Time,"New Delhi:More than a year later, the Centre on Friday has, for the first time, officially revealed the names of six Indian military personnel who were killed i",English,,,,,,,0,0,,,,,True,True,-1,misinfo_spreader,critical,memorial_first_disclosure,True,Centre reveals names for first time,Claims Centre first reveals six Op Sindoor soldiers' names on memorial.
