platform,url,author,author_display_name,author_identity,author_category,author_followers,date,time,type,title,text,language,views,likes,comments,shares,reposts,bookmarks,reach_claimed_est,engagement_total,media_url,replied_to_url,replied_to_user,quoted_url,analyzed,row_relevant,stance,role,bloc,narrative,misinfo_suspect,misinfo_claim,summary
Facebook,https://www.facebook.com/reel/2149501422507230/,News update,News update,,,,2026-06-02,01:58,post,Posted by News update,"क्या मीडिया ने OP Sindoor के बारे में फर्जी खबरें फैलाईं? |Aditya Raj Kaul |
Shubhankar Mishra
#Adityarajkaul #kashmir #dhurandhar 
Video clip credit Respected: Shubhankar Mishra sir 
From Kashmir to Dhurandhar: Inside India's Secret Wars ft. Aditya Raj Kaul | Israel vs Iran | Shubhankar Mishra 

#kashmirfile #kashmiripandit #yasinmalik #kashmirihindus #adityadhar #dhurandhar2 #raveersingh #shubhankarmishra #Ravindrakaushik #lalqila #dawoodibrahim #iranvsisrael #fb #facebookviral #foryoupageシ #fbreels #engagement #nonfollowers",,,1419,30,,,,,,https://scontent.fdel1-1.fna.fbcdn.net/o1/v/t2/f2/m366/AQNkMEf3TrtG5_bUEsqRX2PFtaJ9qJBaxa5GMw8Z68Zxz_7kiWz_SduwiswEY7IFmoIC6ZUq-BTG3BsoIBPT74ckhMhOx4uTbC4C_4k.mp4?_nc_cat=108&_nc_oc=AdofJLUOo9IDts3oUqYAYBS-UFRbeI0a5_Rx8EdsB1EfvAfWAApNSDxDc_hTmzl_PKk&_nc_sid=9ca052&_nc_ht=scontent.fdel1-1.fna.fbcdn.net&_nc_ohc=Ke6Xdmz_yDoQ7kNvwGxSLIH&efg=eyJ2ZW5jb2RlX3RhZyI6ImRhc2hfcjJhdjEtcjFnZW4ydnA5X3EyMCIsInZpZGVvX2lkIjoyMTQ5NTAxNDIyNTA3MjMwLCJvaWxfdXJsZ2VuX2FwcF9pZCI6MCwiY2xpZW50X25hbWUiOiJ1bmtub3duIiwieHB2X2Fzc2V0X2lkIjoxNTI5MDI3NDg4NTY1NDM2LCJhc3NldF9hZ2VfZGF5cyI6NDEsInZpX3VzZWNhc2VfaWQiOjEwMTIyLCJkdXJhdGlvbl9zIjoyOCwiYml0cmF0ZSI6MTQ2MzgyLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=Vch-2Qw9Ax1McZlQHu8FzQ&_nc_ss=7b2a8&_nc_map=urlgen_bucketless&_nc_zt=28&oh=00_AQA_zlRomARloRG_OKufACRSi0Ikf06-GHl_rRYj9LneHw&oe=6A5AE999,,,,True,False,0,questioner,,other,False,,Questions whether media spread fake news about Operation Sindoor.
Facebook,https://www.facebook.com/EconomicTimes/posts/pfbid02bisT2RobVVsDJfGbuMrZ9ydGBiWY1QSqR5CZYBpCDV2h6KX6jJr8kE9Wuhjoyg3hl,The Economic Times,The Economic Times,,,,2026-06-02,10:50,post,Posted by The Economic Times,"⚓🇮🇳 Op Sindoor hit where it hurts 📉🚢 Admiral Dinesh K Tripathi says the Indian Navy’s posture during Operation Sindoor dented Pakistan’s maritime economy 🎖️🌊👉 How important is maritime power in modern strategic competition?👇
#IndianNavy #India #Pakistan #Defence #Security",English,,4,,,,,,,,,,,True,False,1,neutral_reporter,,other,False,,Navy chief says Op Sindoor posture dented Pakistan maritime economy.
Facebook,https://www.facebook.com/LAHIRITINAPRIYA/posts/pfbid02HX8r219B73unULbAWcLzhiykMbg9m79xYUAmy2ZDicLFUER6vLf6SatkkZMBK9h3l,Tina Lahiri,Tina Lahiri,,,,2026-06-04,14:11,post,Posted by Tina Lahiri,"I DONT SPREAD RUMOR , THAT DEPARTMENT IS OF ANTI INDIANS AS NO CASUALTY HAPPENED IN OPERATION SINDOOR BUT WHEN LATE VIPIN RAWAT SIR WITH DETAILS DECLARED MODI MURDERED HIM . ITS A CONFIRMED NEWS AND WHOLE INDIA SHOULD DO THIS . IF YPU DONT WANT TO BE PART OF FREEDOM FIGHTING ,STAY NEUTRAL BUT DONT BE SPY OF BRITISH WHOSE LIFES ARE AT STATE FOR NATIONS FREEDOM.  HATED MOST WORTHLESS USELESS PAETY TO BE BANNED .IF ANY KIND OF VOTING HAPPENS IN COMING TIMES I WILL VOTE TO BANNISH THIS PARTY TOTALLY FROM INDIA . LOVE INDIA FEEL PROUD TO BE AN INDIAN BUT THIS PM WORLD PEOPLE BURNING ,TEATING OUR NATIONAL FLAG .
NRI S GETTING SHAMEFUL BEHAVIOUR FROM THEIR RESPECTIVE FOREIGN COUNTRIES AS PM OF INDIA IS A JOKER 
WHOEVER CAN TOLERATE I WONT AT ANY COST . #BANNRSS #BRINGBACKEDUCATEDPOLITICIAN",,,5,1,,,,,,,,,,True,False,-2,misinfo_spreader,,other,True,no casualty happened in Operation Sindoor,Denies Sindoor casualties while alleging Modi murdered Rawat.
Facebook,https://www.facebook.com/reel/871182575392518/,World Affairs,World Affairs ,,,,2026-06-05,12:20,post,Posted by World Affairs,India Preparing For Op Sindoor 2.0_ Biggest Drone Order Ever Signals New Era Of Warfare,English,,326,2,,,,,,,,,,True,False,1,neutral_reporter,,other,False,,India prepares Op Sindoor 2.0 with largest-ever drone order.
Facebook,https://www.facebook.com/LAHIRITINAPRIYA/posts/pfbid02Ghr9GFLm7rxFYjzkvcizVbsD8N7GygFV9ZYqDruFGW9Q6tac5hJ1KxcjWo9UUxTgl,Tina Lahiri,Tina Lahiri,,,,2026-06-06,23:37,post,Posted by Tina Lahiri,"NO TOLERANCE OF MODISHAH ANYMORE ,KILLED ENORMOUS GEMS OF INDIA FROM CCD OWNER,TO VIPIN RAWAT ,TO RETIRED BRIGADIER TO PHULWAMA TO OPERATION SINDOOR S REAL CASUALTY  ...KHAN SIR IS MAKING EDUCATION ALIVE AND THIS ILLITERATE GOVERNMENT WANT TO FRAME HIM AS A PAKISTANI ? WHY BANGLADESHI HASEENA STAYING IN INDIA FOR 2 YEARS ? WHOLE INDIA WILL BE ON STREET IF ANY FOUL PLAY BE CREATED WITH HIM ...KEEP IT IN MIND MODISHAH 
FOR YOUR PROSTITUTE MEDIA WE CANT LOOSE EDUCATED PERSON #SAVEKHANSIR #SUPPORTSCJP #IAMWITHKHANSIR #BEEDUCATED #BRINGBACJEDUCATEDPOLITICIANS",,,,1,,,,,,,,,,True,False,-2,attacker,,other,False,,Anti-Modi rant blaming govt for various deaths including Sindoor casualties.
Facebook,https://www.facebook.com/IndianDefenceNewsSite/posts/pfbid0Uv5QDmhP2ajLQkrcEY9FKji4gSVexha41rx7nYjuBLvtVjKUAn7mf7CwbUzumdLMl,Indian Defence News Site,Indian Defence News Site,,,,2026-06-07,21:41,post,Posted by Indian Defence News Site,"Indian Defence Sector to Scale Up 'Rampage' Missile Manufacturing Following Phenomenal Success in Op Sindoor

The Indian government is fast-tracking the large-scale domestic production of the Rampage supersonic air-to-ground missile. This decision comes after the Israeli-designed weapon proved highly effective during the Indian Air Force’s (IAF) Operation Sindoor in May 2025. Deployed from Su-30MKI...",English,,387,17,,,,,,https://api-myriadlogica-saas.techdigitem.com/facebook/689dc19f3d934e331ad6b821f8480c300a324c66a918e77107cedf9621a65ddc/1.png,,,,True,False,1,neutral_reporter,,other,False,,Reports ramp-up of Rampage missile production after Op Sindoor success.
Facebook,https://www.facebook.com/theprintindia/posts/pfbid02JcG1H9NuhgA96MwGHj6D9LabuZdWrX6U571quotWFf2ducWeaFUAKNmagSk2bp11l,ThePrint,ThePrint,,,,2026-06-08,10:28,post,Posted by ThePrint,"It has been over a year since India and Pakistan agreed to a ceasefire following Operation Sindoor. But even as the guns fell silent, India’s neighbour kept sharpening its knives. Over the past 16 months, Pakistan has been stacking up a constellation of spy satellites, specifically designed to continuously monitor Indian territory.

Between January 2025 and June 2026, Pakistan launched six Earth-observation satellites, all placed in Sun-synchronous orbits that make them ideal for surveillance.

Collectively, these satellites are mapping Indian territory at least once every two days.

Read complete report by Soumya Pillai: https://tinyurl.com/ymvrnfk8

#Pakistan #OpSindoor #spysatellite #Pakistanspy",English,,739,255,,,,,,https://api-myriadlogica-saas.techdigitem.com/facebook/907ed24bacda217e968e0f4644174bc7a4f99489c203be434aec123f8605705c/1.png,,,,True,False,0,neutral_reporter,,neutral_news,False,,Pakistan launched spy satellites to monitor India post-Sindoor ceasefire.
Facebook,https://www.facebook.com/reel/2668901720171168/,The Newsroom 24 - Awaz,The Newsroom 24 - Awaz,,,,2026-06-09,12:34,post,Posted by The Newsroom 24 - Awaz,"राइफलमैन सुनील भगत को मरणोपरांत ,वीर चक्र..OP Sindoor Hero !
बिशनाह के गांव त्रेवा का था सुनील.. Manoj Sinha ADGPI - Indian Army

#वीरचक्र #राइफलमैनसुनील #ऑपरेशनसिंदूर #शहीदकोसलाम #देशकावीर #भारतमाताकीसंतान #जम्मूकश्मीर #बिश्नाह",,,3220,311,,,,,,https://scontent.fdel1-3.fna.fbcdn.net/o1/v/t2/f2/m366/AQNYBVMHYMHPnL_nmmpmd9WSXLhEtSdumen2IMyA24UzXwErEWY21fJTF3jsqTj4zBRnsIdB-pyQtY-bvrny41-hThvsqeKbiVD2gsk.mp4?_nc_cat=111&_nc_oc=Adr-lQHx4uOTaDfrp0DIyVcPdRHvj8K_NUruTncxW0uJLpd0vL9fpWEvYmmplpwdC8o&_nc_sid=9ca052&_nc_ht=scontent.fdel1-3.fna.fbcdn.net&_nc_ohc=KHHeI2ms1f4Q7kNvwFekJWE&efg=eyJ2ZW5jb2RlX3RhZyI6ImRhc2hfcjJhdjEtcjFnZW4ydnA5X3E0MCIsInZpZGVvX2lkIjoyNjY4OTAxNzIwMTcxMTY4LCJvaWxfdXJsZ2VuX2FwcF9pZCI6MCwiY2xpZW50X25hbWUiOiJ1bmtub3duIiwieHB2X2Fzc2V0X2lkIjozNjg0ODE2NzcxNjU4OTU5LCJhc3NldF9hZ2VfZGF5cyI6MzQsInZpX3VzZWNhc2VfaWQiOjEwMTIyLCJkdXJhdGlvbl9zIjo0MjYsImJpdHJhdGUiOjEyMTc4MiwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=Z9ETX_C_7iguQeXCfnD6NQ&_nc_ss=7b2a8&_nc_map=urlgen_bucketless&_nc_zt=28&oh=00_AQC4Aw0uPNlMJvQohUXucbHyi5jWZUjX_CjXAR7yEpWGtQ&oe=6A5AD13C,,,,True,False,1,tribute,,other,False,,Tribute to Rifleman Sunil Bhagat awarded posthumous Vir Chakra for Op Sindoor.
Facebook,https://www.facebook.com/lokeshpanwarji/posts/pfbid02jb3KZjh7TAWoAizqs71MMktr784rPDaaJJJgT8Q3d1esr1UYyPbGsuo7gfULF3irl,Lokesh Panwar,Lokesh Panwar,,,,2026-06-09,15:07,post,Posted by Lokesh Panwar,"Howdy Modi 

Namaste Trump

Stop OP sindoor 

Don’t buy Russian oil

….. Shot down ship ….. where is 56 inch ?",English,,3,,,,,,,https://api-myriadlogica-saas.techdigitem.com/facebook/1755eb65fa6f4b015a16aede4fee86b0de6a3cd7ea72ae7e63e9b8b955081e73/1.jpg,,,,True,False,-1,critic,,other,False,,"Mocks Modi and Trump, demands stop to Op Sindoor and oil buys."
Facebook,https://www.facebook.com/reel/1376779914347296/,Akash Sharma,Akash Sharma,,,,2026-06-09,21:31,post,Posted by Akash Sharma,They navigated heavy radar cover to execute those precise midnight strikes. Their courage during Op Sindoor was legendary.,English,,1436,385,,,,,,https://scontent.fdel3-5.fna.fbcdn.net/o1/v/t2/f2/m366/AQOcVdRu_qFy1Z_5VjrWcvdEZKSxLT33Br4dhlDFu-KXrY5RFKUjC5_tbNDYZVbB4ha2pzIPqPK0pM4sPGU7NjStVoadUnhYZmflYY0.mp4?_nc_cat=105&_nc_oc=Adpg_bfBuEG8QEAfG2DXAV2FZNjSxMvoeyrhUAGjJcdp26UUJSLVTfroULJA_0dS-Yw&_nc_sid=9ca052&_nc_ht=scontent.fdel3-5.fna.fbcdn.net&_nc_ohc=AK6igPtuWV8Q7kNvwEEBxvL&efg=eyJ2ZW5jb2RlX3RhZyI6ImRhc2hfcjJhdjEtcjFnZW4ydnA5X3EyMCIsInZpZGVvX2lkIjoxMzc2Nzc5OTE0MzQ3Mjk2LCJvaWxfdXJsZ2VuX2FwcF9pZCI6MCwiY2xpZW50X25hbWUiOiJ1bmtub3duIiwieHB2X2Fzc2V0X2lkIjoxMzYxMDI0NzA5Mjg0OTkxLCJhc3NldF9hZ2VfZGF5cyI6MzQsInZpX3VzZWNhc2VfaWQiOjEwMTIyLCJkdXJhdGlvbl9zIjoxNDgsImJpdHJhdGUiOjE4MTI1NSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=qrn2rYuJOYPzu01fWTG2yw&_nc_ss=7b2a8&_nc_map=urlgen_bucketless&_nc_zt=28&oh=00_AQDCxuvILJf1auECVX1bYT8T5N15wdsuoO2NgnZFkPdVfA&oe=6A5BA8B2,,,,True,False,1,tribute,,other,False,,Praise for pilots who navigated radar for precise Op Sindoor strikes.
