platform,url,author,author_display_name,author_identity,author_category,author_followers,date,time,type,title,text,language,views,likes,comments,shares,reposts,bookmarks,reach_claimed_est,engagement_total,media_url,replied_to_url,replied_to_user,quoted_url,analyzed,row_relevant,stance,role,bloc,narrative,misinfo_suspect,misinfo_claim,summary
Print,,,Himachal Dastak,,,,2026-06-20,05:28,coverage,"Selection of Sujanpur's Daughter Nritika Mahajan for Navy's Executive Branch Reflective Tape Applied on Horns of Stray Animals Youth Parliament Organized at Him Academy Dugnehra, Students Understood the Functioning of Democracy",Sujanpur. Sujanpur's daughter Nritika Mahajan has brought fame to the region by being selected in the Indian Navy. Nritika Mahajan has been selected for the SSC,Hindi,,,,,,,21843,0,,,,,True,False,0,bystander,,other,False,,Local woman selected for Indian Navy executive branch.
Print,,,The Pioneer,,,,2026-06-21,00:40,coverage,VP Radhakrishnan pays homage to bravehearts at Leh memorial,PIONEER NEWS SERVICE Leh Vice President CP Radhakrishnan on Saturday visited the Hall of Fame War Memorial here and expressed the nation's gratitude to the forc,English,,,,,,,18674,0,,,,,True,False,0,tribute,,other,False,,VP Radhakrishnan pays homage at Leh Hall of Fame War Memorial.
Print,,,The Pioneer,,,,2026-06-21,00:41,coverage,VP Radhakrishnan pays homage to bravehearts at Leh war memorial,PIONEER NEWS SERVICE n Leh Vice President CP Radhakrishnan on Saturday visited the Hall of Fame War Memorial here and expressed the nation's gratitude to the fo,English,,,,,,,19073,0,,,,,True,False,0,tribute,,other,False,,VP Radhakrishnan pays homage at Leh Hall of Fame War Memorial.
Print,,,Greater Jammu,,,,2026-06-21,00:51,coverage,"War Memorial in Leh is a symbol of patriotism and sacrifice: Vice President Pays tribute to soldiers, visits key heritage and development sites","GJ REPORT LEH, JUN 20: Vice President of India C P Radhakrishnan on Saturday paid homage to the country's brave soldiers, offered prayers at the sacred Sindhu R",English,,,,,,,30572,0,,,,,True,False,0,tribute,,other,False,,Vice President pays tribute at Leh War Memorial to soldiers.
Print,,,The Pioneer,,,,2026-06-21,01:08,coverage,VP Radhakrishnan pays homage to bravehearts at Leh war memorial,PIONEER NEWS SERVICE Leh Vice President CP Radhakrishnan on Saturday visited the Hall of Fame War Memorial here and expressed the nation's gratitude to the forc,English,,,,,,,19073,0,,,,,True,False,0,tribute,,other,False,,VP Radhakrishnan pays homage at Leh Hall of Fame War Memorial.
Print,,,The Tribune,,,,2026-06-21,01:38,coverage,"VP Radhakrishnan visits Ladakh War memorial, pays homage to bravehearts Lauds ITBP personnel for frontier duty | To join International Yoga Day celebrations in UT","SRINAGAR, JUNE 20 Vice-President C P Radhakrishnan on Saturday visited several key sites in Ladakh, including the Hall of Fame War Memorial, Sindhu Ghat, the Pa",English,,,,,,,44328,0,,,,,True,False,1,tribute,,tribute_martyrs,False,,VP visits Ladakh war memorial and pays homage to bravehearts.
Print,,,Good Morning Kashmir,,,,2026-06-21,01:46,coverage,"Vice-Prez Radhakrishnan visits Hall of Fame War Memorial, other places in Leh","GMK NEWS NETWORK LEH: Vice-President of India, C P Radhakrishnan, today visited the Hall of Fame War Memorial, Sindhu Ghat, Pashmina Goat Farm at Upshi, and the",English,,,,,,,33013,0,,,,,True,False,1,tribute,,tribute_martyrs,False,,VP visits Leh Hall of Fame War Memorial and pays homage.
Print,,,Glimpses of Future,,,,2026-06-21,01:57,coverage,"Vice President Radhakrishnan visits Leh war memorial, pays homage to bravehearts","PRESS TRUST OF INDIA Leh, Jun 20 Vice President C P Radhakrishnan on Saturday visited the Hall of Fame War Memorial here and expressed the nation's gratitude to",English,,,,,,,30681,0,,,,,True,False,1,tribute,,tribute_martyrs,False,,VP visits Leh Hall of Fame War Memorial and pays homage.
Print,,,Kashmir Thunder,,,,2026-06-21,02:19,coverage,"'Nation first, always': VP Radhakrishnan Salutes armed forces at Hall of Fame War Memorial in Leh","KT News Desk Leh, Jun 20: Vice-President of India, C P Radhakrishnan on Saturday visited the Hall of Fame War Memorial, Sindhu Ghat, Pashmina Goat Farm at Upshi",English,,,,,,,14229,0,,,,,True,False,1,tribute,,tribute_martyrs,False,,VP salutes armed forces at Leh Hall of Fame War Memorial.
Print,,,Kashmir Images,,,,2026-06-21,02:22,coverage,"Vice-President visits key sites in Ladakh, lauds Armed Forces and ITBP personnel","LEH, JUNE 20: Vice-President of India C. P. Radhakrishnan on Saturday visited the Hall of Fame War Memorial, Sindhu Ghat, a Pashmina Goat Farm at Upshi and the ",English,,,,,,,31968,0,,,,,True,False,1,tribute,,tribute_martyrs,False,,VP visits Leh war memorial and lauds Armed Forces and ITBP.
Print,,,Refugee Message,,,,2026-06-21,02:44,coverage,"Vice-President visits key sites in Ladakh, lauds Armed Forces and ITBP","The Vice-President of India, Shri C. P. Radhakrishnan, today visited the Hall of Fame War Memorial, Sindhu Ghat, Pashmina Goat Farm at Upshi, and the first rock",English,,,,,,,158528,0,,,,,True,False,1,tribute,,tribute_martyrs,False,,VP visits Leh war memorial and lauds Armed Forces and ITBP.
Print,,,Capital Information,,,,2026-06-21,03:00,coverage,Sindhu River Symbolises Bharat's Civilizational Heritage and Cultural Unity,"The Vice-President of India, C. P. Radhakrishnan, visited the Hall of Fame War Memorial, Sindhu Ghat, Pashmina Goat Farm at Upshi, and the first rock check dam ",English,,,,,,,49379,0,,,,,True,False,1,tribute,,tribute_martyrs,False,,VP Radhakrishnan visits Leh war memorial and lauds Armed Forces.
Print,,,Greater Kashmir,,,,2026-06-21,04:09,coverage,"Vice President Radhakrishnan hails eco-friendly water initiative, rural livelihood efforts in Ladakh","GK News Service Leh, Jun 20 The Vice-President of India, C.P. Radhakrishnan, Saturday visited the Hall of Fame War Memorial, Sindhu Ghat, Pashmina Goat Farm at ",English,,,,,,,31464,0,,,,,True,False,1,tribute,,tribute_martyrs,False,,VP visits Leh Hall of Fame War Memorial and pays homage to soldiers.
Print,,,The Hindustan Times,,,,2026-06-21,04:39,coverage,"{ DAY 2 OF LADAKH VISIT } VP visits war memorial, Sindhu Ghat; lauds armed forces, ITBP","HT Correspondent letterschd@hindustantimes.com JAMMU: The Vice-President CP Radhakrishnan, on Saturday visited the Hall of Fame War Memorial, Sindhu Ghat, Pashm",English,,,,,,,21907,0,,,,,True,False,0,neutral_reporter,,neutral_news,False,,"VP visits Leh war memorial and Sindhu Ghat, lauds forces."
Print,,HT Correspondent,The Hindustan Times,,,,2026-06-21,04:40,coverage,"VP visits Sindhu Ghat, war memorial; lauds armed forces, ITBP","JAMMU : The Vice-President C P Radhakrishnan, on Saturday visited the Hall of Fame War Memorial, Sindhu Ghat, Pashmina Goat Farm at Upshi, and the first rock ch",English,,,,,,,18482,0,,,,,True,False,0,neutral_reporter,,neutral_news,False,,"VP Radhakrishnan visits Leh war memorial, lauds armed forces."
