platform,url,author,author_display_name,author_identity,author_category,author_followers,date,time,type,title,text,language,views,likes,comments,shares,reposts,bookmarks,reach_claimed_est,engagement_total,media_url,replied_to_url,replied_to_user,quoted_url,analyzed,row_relevant,stance,role,bloc,narrative,misinfo_suspect,misinfo_claim,summary
Twitter/X,https://x.com/fujiyotsunemi/status/849841353248788480,@fujiyotsunemi,,,,,2017-04-06,04:29,original,,今まで訪れた中で一番好きな国がパキスタン！またトップ５のうち４国がイスラムの国とは。[http://nadeemsan.hatenablog.com/entry/2017/03/15/203125?_ga=1.247169540.1821715114.1487982991…](https://t.co/Nk0uvy07U4),,0,6,1,,4,0,,11,,,,https://x.com/geertwilderspvv/status/2074104214209384670,False,,,,,,,,
Twitter/X,https://x.com/ArvindKejriwal/status/1108408847121686528,@ArvindKejriwal,,,,,2019-03-20,16:43,unknown,,Someone sent this ...,,0,0,0,,0,0,,0,https://pbs.twimg.com/media/D2Hb84gWkAAPdMR?format=jpg&name=large,,,,False,,,,,,,,
Twitter/X,https://x.com/ImtiazMadmood/status/1538804288759205888,@ImtiazMadmood,,,,,2022-06-20,08:41,unknown,,"Indian soldiers burying dead Pakistani soldiers according to Islamic rituals after Pakistan refused to accept their bodies, Kargil war, 1999.",,0,0,0,,0,0,,0,https://pbs.twimg.com/media/FVruTmlXsAEd_DQ?format=png&name=large,,,,False,,,,,,,,
Twitter/X,https://x.com/alishbahaha_/status/1755830522494747032,@alishbahaha_,,,,,2024-02-09,05:46,unknown,,"Real 

#ElectionResults",,0,0,0,,0,0,,0,https://pbs.twimg.com/media/GF32jgRXoAIrGsh?format=jpg&name=large,,,,False,,,,,,,,
Twitter/X,https://x.com/nabilajamal_/status/1920770141014348245,@nabilajamal_,,,foreign_handle,,2025-05-09,09:17,unknown,,"#BREAKING 

Indian Army Jawan M. Murali Naik martyred in J&K's Operation Sindoor

Hailing from Kalli Thanda village, Sri Satya Sai district, he laid down his life in the ongoing anti-terror op

A hero whose sacrifice keeps us safe. Salute 🇮🇳
#IndiaPakistanWar",,0,0,0,,0,0,,0,,,,,False,,,,,,,,
Twitter/X,https://x.com/the_hindu/status/1920773278538305983,@the_hindu,,The Hindu,media_org,,2025-05-09,09:30,unknown,,"An Indian Army jawan, identified as Murali Naik from Kalli Thanda hamlet of Puttagundlapalle village of Gorantla mandal in Sri Sathya Sai district, was martyred during cross-border firing by the Pakistani forces along the LoC on the night of May 8, 2025
https://trib.al/9t2qBMA",,0,0,0,,0,0,,0,,,,,False,,,,,,,,
Twitter/X,https://x.com/INCIndia/status/1921891284089786876,@INCIndia,,Indian National Congress,party_handle,,2025-05-12,11:32,unknown,,A tribute to the brave sons of Mother India who sacrificed their lives in the defense of the nation 🙏,,0,0,0,,0,0,,0,,,,,False,,,,,,,,
Twitter/X,https://x.com/tisaiyan/status/1922660014876991509,@tisaiyan,,,,,2025-05-14,14:27,original,,"In a move that has stunned observers across the subcontinent, the Pak govt may end up handing over Rs 14 crore in compensation to Masood Azhar — the UN-designated terrorist and founder of the Jaish-e-Mohammed (JeM) after Operation Sindoor hit terror camps across Pakistan.

1/2",,70,0,1,,0,0,,1,,,,,False,,,,,,,,
Twitter/X,https://x.com/tisaiyan/status/1922660016965755207,@tisaiyan,,,,,2025-05-14,14:27,original,,"Among the 14 killed were Azhar’s elder sister and her husband, a nephew and his wife, a niece, and five children from his extended family.

If Azhar emerges as the sole surviving legal heir, he could be laughing his way to the bank with a 14 cr comp

2/2",,31,0,1,,0,0,,1,,https://x.com/tisaiyan/status/1922660014876991509,,,False,,,,,,,,
Twitter/X,https://x.com/Whiteknight_IA/status/1931246100863766961,@Whiteknight_IA,,,,,2025-06-07,07:05,unknown,,"#GOC and all ranks of #WhiteKnightCorps pay heartfelt tribute to #Braveheart Havildar Sunil Kumar Singh  who made the supreme sacrifice in the line of duty during #OpSindoor.

After sustaining grievous injuries, he battled valiantly during treatment at Command Hospital and passed",,0,0,0,,0,0,,0,,,,,False,,,,,,,,
Twitter/X,https://x.com/gandharva676556/status/1933239557446905990,@gandharva676556,,,,,2025-06-12,19:06,unknown,,"https://x.com/VivekSi85847001/status/1720780252866355698?t=5GcwU_gVbs2920tFByHUeg&s=19… in mianwali air base attack took PAF & ISPR hidden losses and stated nothing happened and no loss of life
But TJP debunked their claim by releasing video of aircrafts burn and destroyed 
We can understand their policy they simply can't reveal their losses",,0,0,0,,0,0,,0,https://pbs.twimg.com/media/GtQ_BsYXcAA6iEU?format=jpg&name=large,,,,False,,,,,,,,
Twitter/X,https://x.com/tisaiyan/status/1981002002705555457,@tisaiyan,,,,,2025-10-22,14:17,original,,"Jaish-e-Mohammad’s ‘female branch’ launches ‘online course’ to recruit women in Pakistan.

Masood Azhar's sister Sadiya, whose husband was killed in Bahawalpur during Operation Sindoor is leading the 'Jamat ul-Muminat', JeM's female branch.",,55,0,1,,0,0,,1,,https://x.com/tisaiyan/status/1922660016965755207,,,False,,,,,,,,
Twitter/X,https://x.com/tisaiyan/status/1983897445294862629,@tisaiyan,,,,,2025-10-30,14:03,original,,"’72 hoors for men, paradise for women’: JeM chief Masood Azhar launches women’s terror brigade ‘Jamaat-ul-Mominaat’ to target India.

Daura-e-Taskiya is just like the men’s first course, which is designed to radicalise them and convince them that...",,39,0,1,,0,0,,1,,https://x.com/tisaiyan/status/1981002002705555457,,,False,,,,,,,,
Twitter/X,https://x.com/tisaiyan/status/1985598124010979394,@tisaiyan,,,,,2025-11-04,06:40,original,,"Hiding chiefs, broken trust: Lashkar-e-Taiba and Jaish-e-Mohammed cadres turn on their leaders post Ops Sindoor.

ISI wants to revive them, but they are hiding.",,32,0,1,,0,0,,1,,https://x.com/tisaiyan/status/1983897445294862629,,,False,,,,,,,,
Twitter/X,https://x.com/tisaiyan/status/2010695647842963562,@tisaiyan,,,,,2026-01-12,12:49,original,,"‘Not 1, not 100, not 1,000…’: JeM chief Masood Azhar threatens with an army of suicide bombers against India in viral audio.

the exact date and authenticity of the audio message could not be independently verified.",,37,0,1,,0,0,,1,,https://x.com/tisaiyan/status/1985598124010979394,,,False,,,,,,,,
Twitter/X,https://x.com/tisaiyan/status/2022100203990622551,@tisaiyan,,,,,2026-02-13,00:07,original,,"UN Report nails JeM for Red Fort attack, warns of new women-only terror wing.

The thirty-seventh report of the UN Analytical Support and Sanctions Monitoring Team, dated February 4, 2025, submitted to the Security Council’s 1267 Sanctions Committee...",,18,0,1,,0,0,,1,,https://x.com/tisaiyan/status/2010695647842963562,,,False,,,,,,,,
Twitter/X,https://x.com/SanatanPrabhat/status/2028828970737917969,@SanatanPrabhat,,,,,2026-03-03,13:44,original,,"Pakistan President Asif Ali Zardari claims in Parliament that “India is preparing for war” - and then calls for “dialogue.”

Let’s be clear: Every one of the four wars happened due to Pakistan’s aggression. India has never initiated war.

Now, playing the victim won’t rewrite history. If India actually waged war, Pakistan would be wiped off the world map; that is why they are now talking about ""dialogue""

Calling the scrapping of the Indus Waters Treaty “water terrorism” is ironic coming from a nation built on decades of jihadi terror and anti-Hindu hate.

When India acts in self-defense, Pakistan cries “terrorism.”

The world knows who the real aggressor has always been.

PC: [@ITGGlobal](https://x.com/ITGGlobal)",,662,16,1,,21,0,,38,https://pbs.twimg.com/media/HCfZMeNbQAE4D9J?format=jpg&name=large,,,,False,,,,,,,,
Twitter/X,https://x.com/utspay_official/status/2041733086971654484,@utspay_official,,,,,2026-04-08,04:21,original,,"UTSPAY offers an automated rebate option designed for traders who value efficiency and convenience. Once your account is connected, cashback is credited automatically on every trade, helping to reduce overall trading costs while supporting consistent performance over time.",,12661642,814,0,,79,92,,893,,https://x.com/ArvindKejriwal/status/2072230756618047844,,,True,False,0,bystander,,other,False,,Promotes UTSPAY automated cashback rebate for traders.
Twitter/X,https://x.com/aravind/status/2054042455864229997,@aravind,,,,,2026-05-12,03:34,unknown,,"Whenever it is about animals in India, it is always ""shrinking habitat"" and ""human encroachment"", programming Indians too to think we are doing something nasty.

It is never ""increasing population"", ""successful conservation"", ""great efforts to protect nature in-spite of low per",,0,0,0,,0,0,,0,https://pbs.twimg.com/media/HIFsnq2aYAABzr8?format=jpg&name=large,,,,False,,,,,,,,
Twitter/X,https://x.com/kushalmighty07/status/2057669867160179199,@kushalmighty07,,,,,2026-05-22,03:48,unknown,,"Hello proud members of #CockroachJantaParty 
My name is Kushagra Saini, resident of 129-B, Alkapuri, Alwar, Rajasthan and Proprietor of m/s Hermes Group.
My company is into anchoring and piling works for Underground Projects and we completed multiple projects for @DRDO_India  x.com/kushalmighty07…",,0,0,0,,0,0,,0,https://pbs.twimg.com/media/HI5P1QlasAA6Y7Q?format=jpg&name=large,,,,False,,,,,,,,
