platform,url,author,author_display_name,author_identity,author_category,author_followers,date,time,type,title,text,language,views,likes,comments,shares,reposts,bookmarks,reach_claimed_est,engagement_total,media_url,replied_to_url,replied_to_user,quoted_url,analyzed,row_relevant,stance,role,bloc,narrative,misinfo_suspect,misinfo_claim,summary
YouTube,https://www.youtube.com/watch?v=MZB2Vf3WgMA,News 24,Youtube,,,,2026-06-26,11:13,coverage,BREAKING NEWS: Names of 6 jawans martyred in Operation Sindoor publicly revealed for the first time! On this Website....,We bring you a big news update: The names of six personnel of the Indian armed forces who were martyred during Operation Sindoor have been officially made publi,Hindi,,,,,,,0,0,,,,,True,True,-1,misinfo_spreader,critical,memorial_first_disclosure,True,Names revealed publicly for first time,Claims six Op Sindoor martyrs' names publicly revealed for first time on memorial.
YouTube,https://www.youtube.com/watch?v=Pmi9l3DLQAQ,NavBharat Live,Youtube,,,,2026-06-26,12:41,coverage,6 Indian Soldiers Martyred in Operation Sindoor | Operation Sindoor | Indian Armed Forces,"On April 22, 2025, a major terrorist attack took place in Pahalgam, Jammu and Kashmir. In this attack, 26 innocent people lost their lives, most of whom were to",Hindi,,,,,,,0,0,,,,,True,True,-1,misinfo_spreader,critical,memorial_first_disclosure,True,First official confirmation of six martyrs,Claims first official confirmation of six Op Sindoor martyrs on War Memorial.
YouTube,https://www.youtube.com/watch?v=YvR6JFaQBPU,News 24,Youtube,,,,2026-06-26,18:23,coverage,6 Indian soldiers martyred in Operation Sindoor | We Will Speak The Truth | Akhilesh Anand,"And now, as this show progresses, let's talk about those brave soldiers of the country who sacrificed everything for the nation during Operation Sindoor. After ",Hindi,,,,,,,0,0,,,,,True,True,1,tribute,defensive,tribute_martyrs,False,,Discusses six Op Sindoor martyrs to be inscribed on National War Memorial.
YouTube,https://www.youtube.com/watch?v=IpZRHg9O9tE,NewsX Live,Youtube,,,,2026-06-26,19:40,coverage,Who Are the Six Operation Sindoor Heroes Honoured at National War Memorial? | NewsX,The names of six brave Indian armed forces personnel who laid down their lives during Operation Sindoor have been inscribed at the National War Memorial in New ,English,,,,,,,1620000,13,,,,,True,True,1,tribute,defensive,tribute_martyrs,False,,Six Operation Sindoor heroes honoured; names inscribed at National War Memorial.
YouTube,https://www.youtube.com/watch?v=9x9JOkUbYBs,Sameer Sable,Youtube,,,,2026-06-26,20:52,coverage,delhi india gate behind  national war memorial,,English,,,,,,,9,15,,,,,True,False,0,bystander,,other,False,,Generic YouTube title about National War Memorial near India Gate.
YouTube,https://www.youtube.com/watch?v=MTY3AbSgmtY,News 24,Youtube,,,,2026-06-27,04:11,coverage,"Names of Operation Sindoor martyrs revealed for the first time, who were they.. how were they martyred? | War Memorial","For the first time, the central government has officially released the names of six Indian soldiers martyred during Operation Sindoor. After about 13 months, th",Hindi,,,,,,,0,0,,,,,True,True,0,misinfo_spreader,critical,memorial_first_disclosure,True,Six Op Sindoor martyrs named officially for first time after 13 months,Reports six martyrs names revealed first time on War Memorial after 13 months.
YouTube,https://www.youtube.com/watch?v=PLPr8_Luv7s,Indian National Congress,Youtube,,,,2026-06-27,07:00,coverage,"Such a big lie, such shamelessness, Modi ji! ðŸ§ðŸ§","If you want to ask a question, ask this: 'Was there any harm to our brave soldiers in this operation?' The answer to that is, 'No.' The central government has o",Hindi,,,,,,,0,0,,,,,True,True,-2,attacker,critical,rajnath_lied_parliament,True,Rajnath/Modi lied denying any soldier harm; deaths hidden 13 months,Attacks Modi as shameless for lying no soldiers harmed and 13-month delay.
YouTube,https://www.youtube.com/watch?v=KNK5Z0WMjr0,Aam Aadmi Party,Youtube,,,,2026-06-27,07:26,coverage,Shameful! Modi government lied in Parliament about the martyrdom of soldiers in Operation Sindoor! #rajnathsingh,"If you want to ask a question, ask this: 'Were our brave soldiers harmed in this operation?' The answer is no. Who were the jawans who sacrificed their lives fo",Hindi,,,,,,,0,0,,,,,True,True,-2,attacker,critical,rajnath_lied_parliament,True,Government lied in Parliament on martyrs,Accuses government of Parliament lie on Sindoor martyrs.
YouTube,https://www.youtube.com/watch?v=pni1WTp7Oy0,Uttar Pradesh Congress,Youtube,,,,2026-06-27,07:57,coverage,"Such a big lie, such shamelessness, Modi ji! ðŸ§ðŸ§","If you want to ask a question, then ask this: Was there any damage to our brave soldiers in this operation? The answer to that is no. For the first time, the ce",Hindi,,,,,,,0,0,,,,,True,True,-2,attacker,critical,rajnath_lied_parliament,True,Modi lied about no soldier losses,Accuses Modi of lying on no losses after six named.
YouTube,https://www.youtube.com/watch?v=5U-2MwtBslk,Indian National Congress,Youtube,,,,2026-06-27,08:45,coverage,6 soldiers martyred in Operation Sindoor ðŸ˜³ðŸ˜³,"If you want to ask a question, then ask this: 'Was there any harm to our brave soldiers in this operation?' The answer is no. Meanwhile, the names of six braveh",Hindi,,,,,,,0,0,,,,,True,True,-2,misinfo_spreader,critical,rajnath_lied_parliament,True,No harm claimed versus six martyrs named,Contrasts no-harm reply with six Op Sindoor martyrs.
